"Entry Title","Entry ID","MMGBSA dG Bind"
"fold_8exl_pik3ca_mutant_e542k_e545k_model_0_prep_maestro paclitaxel_mutacoes - hbond-opt - Frame 1845",252,-38.943492
"fold_8exl_pik3ca_mutant_e542k_e545k_model_0_prep_maestro paclitaxel_mutacoes - hbond-opt - Frame 1846",253,-43.988643
"fold_8exl_pik3ca_mutant_e542k_e545k_model_0_prep_maestro paclitaxel_mutacoes - hbond-opt - Frame 1847",254,-38.020037
"fold_8exl_pik3ca_mutant_e542k_e545k_model_0_prep_maestro paclitaxel_mutacoes - hbond-opt - Frame 1848",255,-39.082570
"fold_8exl_pik3ca_mutant_e542k_e545k_model_0_prep_maestro paclitaxel_mutacoes - hbond-opt - Frame 1849",256,-39.185794
"fold_8exl_pik3ca_mutant_e542k_e545k_model_0_prep_maestro paclitaxel_mutacoes - hbond-opt - Frame 1850",257,-37.984313
"fold_8exl_pik3ca_mutant_e542k_e545k_model_0_prep_maestro paclitaxel_mutacoes - hbond-opt - Frame 1851",258,-39.227319
"fold_8exl_pik3ca_mutant_e542k_e545k_model_0_prep_maestro paclitaxel_mutacoes - hbond-opt - Frame 1852",259,-39.161690
"fold_8exl_pik3ca_mutant_e542k_e545k_model_0_prep_maestro paclitaxel_mutacoes - hbond-opt - Frame 1853",260,-38.812741
"fold_8exl_pik3ca_mutant_e542k_e545k_model_0_prep_maestro paclitaxel_mutacoes - hbond-opt - Frame 1854",261,-39.095776
"fold_8exl_pik3ca_mutant_e542k_e545k_model_0_prep_maestro paclitaxel_mutacoes - hbond-opt - Frame 1855",262,-42.619445
"fold_8exl_pik3ca_mutant_e542k_e545k_model_0_prep_maestro paclitaxel_mutacoes - hbond-opt - Frame 1856",263,-38.015997
"fold_8exl_pik3ca_mutant_e542k_e545k_model_0_prep_maestro paclitaxel_mutacoes - hbond-opt - Frame 1857",264,-37.996733
"fold_8exl_pik3ca_mutant_e542k_e545k_model_0_prep_maestro paclitaxel_mutacoes - hbond-opt - Frame 1858",265,-39.074242
"fold_8exl_pik3ca_mutant_e542k_e545k_model_0_prep_maestro paclitaxel_mutacoes - hbond-opt - Frame 1859",266,-37.943140
"fold_8exl_pik3ca_mutant_e542k_e545k_model_0_prep_maestro paclitaxel_mutacoes - hbond-opt - Frame 1860",267,-39.147001
"fold_8exl_pik3ca_mutant_e542k_e545k_model_0_prep_maestro paclitaxel_mutacoes - hbond-opt - Frame 1861",268,-39.248020
"fold_8exl_pik3ca_mutant_e542k_e545k_model_0_prep_maestro paclitaxel_mutacoes - hbond-opt - Frame 1862",269,-37.934088
"fold_8exl_pik3ca_mutant_e542k_e545k_model_0_prep_maestro paclitaxel_mutacoes - hbond-opt - Frame 1863",270,-39.345576
"fold_8exl_pik3ca_mutant_e542k_e545k_model_0_prep_maestro paclitaxel_mutacoes - hbond-opt - Frame 1864",271,-39.259517
"fold_8exl_pik3ca_mutant_e542k_e545k_model_0_prep_maestro paclitaxel_mutacoes - hbond-opt - Frame 1865",272,-39.165574
"fold_8exl_pik3ca_mutant_e542k_e545k_model_0_prep_maestro paclitaxel_mutacoes - hbond-opt - Frame 1866",273,-39.240728
"fold_8exl_pik3ca_mutant_e542k_e545k_model_0_prep_maestro paclitaxel_mutacoes - hbond-opt - Frame 1867",274,-37.863049
"fold_8exl_pik3ca_mutant_e542k_e545k_model_0_prep_maestro paclitaxel_mutacoes - hbond-opt - Frame 1868",275,-39.427015
"fold_8exl_pik3ca_mutant_e542k_e545k_model_0_prep_maestro paclitaxel_mutacoes - hbond-opt - Frame 1869",276,-39.205683
"fold_8exl_pik3ca_mutant_e542k_e545k_model_0_prep_maestro paclitaxel_mutacoes - hbond-opt - Frame 1870",277,-42.824316
"fold_8exl_pik3ca_mutant_e542k_e545k_model_0_prep_maestro paclitaxel_mutacoes - hbond-opt - Frame 1871",278,-38.194322
"fold_8exl_pik3ca_mutant_e542k_e545k_model_0_prep_maestro paclitaxel_mutacoes - hbond-opt - Frame 1872",279,-39.038841
"fold_8exl_pik3ca_mutant_e542k_e545k_model_0_prep_maestro paclitaxel_mutacoes - hbond-opt - Frame 1873",280,-42.943286
"fold_8exl_pik3ca_mutant_e542k_e545k_model_0_prep_maestro paclitaxel_mutacoes - hbond-opt - Frame 1874",281,-42.867554
"fold_8exl_pik3ca_mutant_e542k_e545k_model_0_prep_maestro paclitaxel_mutacoes - hbond-opt - Frame 1875",282,-37.824629
"fold_8exl_pik3ca_mutant_e542k_e545k_model_0_prep_maestro paclitaxel_mutacoes - hbond-opt - Frame 1876",283,-39.044456
"fold_8exl_pik3ca_mutant_e542k_e545k_model_0_prep_maestro paclitaxel_mutacoes - hbond-opt - Frame 1877",284,-39.295660
"fold_8exl_pik3ca_mutant_e542k_e545k_model_0_prep_maestro paclitaxel_mutacoes - hbond-opt - Frame 1878",285,-38.545429
"fold_8exl_pik3ca_mutant_e542k_e545k_model_0_prep_maestro paclitaxel_mutacoes - hbond-opt - Frame 1879",286,-39.387497
"fold_8exl_pik3ca_mutant_e542k_e545k_model_0_prep_maestro paclitaxel_mutacoes - hbond-opt - Frame 1880",287,-39.543609
"fold_8exl_pik3ca_mutant_e542k_e545k_model_0_prep_maestro paclitaxel_mutacoes - hbond-opt - Frame 1881",288,-39.188245
"fold_8exl_pik3ca_mutant_e542k_e545k_model_0_prep_maestro paclitaxel_mutacoes - hbond-opt - Frame 1882",289,-39.080041
"fold_8exl_pik3ca_mutant_e542k_e545k_model_0_prep_maestro paclitaxel_mutacoes - hbond-opt - Frame 1883",290,-39.301620
"fold_8exl_pik3ca_mutant_e542k_e545k_model_0_prep_maestro paclitaxel_mutacoes - hbond-opt - Frame 1884",291,-37.159778
"fold_8exl_pik3ca_mutant_e542k_e545k_model_0_prep_maestro paclitaxel_mutacoes - hbond-opt - Frame 1885",292,-42.679779
"fold_8exl_pik3ca_mutant_e542k_e545k_model_0_prep_maestro paclitaxel_mutacoes - hbond-opt - Frame 1886",293,-37.984813
"fold_8exl_pik3ca_mutant_e542k_e545k_model_0_prep_maestro paclitaxel_mutacoes - hbond-opt - Frame 1887",294,-42.925344
"fold_8exl_pik3ca_mutant_e542k_e545k_model_0_prep_maestro paclitaxel_mutacoes - hbond-opt - Frame 1888",295,-39.013293
"fold_8exl_pik3ca_mutant_e542k_e545k_model_0_prep_maestro paclitaxel_mutacoes - hbond-opt - Frame 1889",296,-37.431312
"fold_8exl_pik3ca_mutant_e542k_e545k_model_0_prep_maestro paclitaxel_mutacoes - hbond-opt - Frame 1890",297,-42.806047
"fold_8exl_pik3ca_mutant_e542k_e545k_model_0_prep_maestro paclitaxel_mutacoes - hbond-opt - Frame 1891",298,-38.078615
"fold_8exl_pik3ca_mutant_e542k_e545k_model_0_prep_maestro paclitaxel_mutacoes - hbond-opt - Frame 1892",299,-42.837841
"fold_8exl_pik3ca_mutant_e542k_e545k_model_0_prep_maestro paclitaxel_mutacoes - hbond-opt - Frame 1893",300,-39.213243
"fold_8exl_pik3ca_mutant_e542k_e545k_model_0_prep_maestro paclitaxel_mutacoes - hbond-opt - Frame 1894",301,-38.969799
"fold_8exl_pik3ca_mutant_e542k_e545k_model_0_prep_maestro paclitaxel_mutacoes - hbond-opt - Frame 1895",302,-42.895647
"fold_8exl_pik3ca_mutant_e542k_e545k_model_0_prep_maestro paclitaxel_mutacoes - hbond-opt - Frame 1896",303,-39.648078
"fold_8exl_pik3ca_mutant_e542k_e545k_model_0_prep_maestro paclitaxel_mutacoes - hbond-opt - Frame 1897",304,-42.876632
"fold_8exl_pik3ca_mutant_e542k_e545k_model_0_prep_maestro paclitaxel_mutacoes - hbond-opt - Frame 1898",305,-38.878460
