Atom Index,RMSF (Per Atom)
0,27.679227509301864
1,27.355110389968598
2,27.371192261602005
3,27.167461222141245
4,27.121698541947417
5,27.163905325507216
6,27.348010817101258
7,27.462510000305056
8,27.591457617101057
9,27.4854319371876
10,27.69539386030068
11,27.82319237686719
12,28.122319035674902
13,28.32546523812727
14,28.30050534970084
15,28.167193832553316
16,27.85838095631639
17,27.68423588108154
18,27.448078930884556
19,27.350708249537306
20,27.177751513606594
21,28.591652595584215
22,28.29750357938454
23,27.90667988493089
24,27.466288809381545
25,27.118275795611627
26,27.161086840335663
27,27.107045530536105
28,27.670499544289452
29,27.568015846657236
30,27.911773462510475
31,28.367621652447227
32,28.482605739011593
33,28.130278633266236
34,26.821707917728908
35,26.711366358320117
36,26.87843956853246
37,26.44501971423975
38,26.40401564224433
39,26.23547064816171
40,26.105054698522753
41,26.159412048962682
42,26.32881823082751
43,27.213233783819508
44,28.43833162385155
45,28.187504891876312
46,27.75819014846957
47,27.35525354804547
48,27.386610007336138
49,27.472237225007564
50,27.627921847687638
51,27.454068094536424
52,27.72561610845531
53,27.884719270437124
54,28.005286905880418
55,27.989544496221196
56,28.08815494234427
57,28.276065850409275
58,28.367103521540184
59,28.28065932083666
60,28.091099147902728
61,28.645310134177528
62,28.86999693275717
63,28.817963255180015
64,29.291124540399068
65,27.78480242348798
66,27.791103158024
67,27.81026925573791
68,27.467809517231423
69,26.943786309295945
70,27.41439308517305
71,28.245420533336738
72,28.33773670945657
73,28.186984458162865
74,27.88090976879869
75,27.794303325370063
76,27.47723220726063
77,27.414381600650547
78,27.11371768211571
79,28.79262818684775
80,28.712405400810685
81,27.981633197286545
82,28.012585959354762
83,27.984309920856422
84,27.510670644994622
85,27.553223855039548
86,27.5159905607115
87,27.27683546239646
88,27.876885505079017
89,28.683869409141092
90,28.89329510838087
91,28.268504469567123
92,26.728074295419304
93,26.56555081454566
94,26.271265796881323
95,26.031027241132254
96,26.136142820086537
97,26.43437693275747
98,27.13252719595321
99,28.61794625010969
100,28.27049459932795
101,27.806877447133285
102,27.30700156462118
103,27.483545107617118
104,27.466883720215506
105,27.48349176803235
106,28.08724939014943
107,28.41690431347593
108,28.573270867947343
109,28.42529908097493
110,28.093583429893783
111,29.401522908251035
112,29.443447660444527
113,29.421110142403894
