Frame,Time (ns),RMSD 2 (114 atoms)
1,0.0,5.025385901261277e-06
2,0.1,0.9707446598876464
3,0.2,0.8709951623161153
4,0.3,0.9987429109571732
5,0.4,0.9193703688892444
6,0.5,0.8933444989945583
7,0.6,0.8080293760817246
8,0.7,0.851181378312908
9,0.8,1.0578397359406986
10,0.9,1.152024522096877
11,1.0,1.1400368308586373
12,1.1,1.215689413921756
13,1.2,1.0466042594217786
14,1.3,1.1462142643533195
15,1.4,1.16207339823782
16,1.5,1.2548350669694437
17,1.6,1.100569250489222
18,1.7,1.1567654330501993
19,1.8,1.1923570252172606
20,1.9,1.2646495567777631
21,2.0,1.0805572083115662
22,2.1,1.0696936875371927
23,2.2,1.2606813882234262
24,2.3,1.1457161883156073
25,2.4,1.1688005299859514
26,2.5001,1.1597911266419734
27,2.6001,1.2021507420712352
28,2.7001,1.4989523300187728
29,2.8001,1.4248244809312296
30,2.9001,1.4693740405396871
31,3.0001,1.4394243798162838
32,3.1001,1.4929831894484988
33,3.2001,1.4687728710873422
34,3.3001,1.3650808227830922
35,3.4001,1.5175968415781704
36,3.5001,1.3896908077130232
37,3.6001,1.4133616385267085
38,3.7001,1.4366791408465753
39,3.8001,1.4168637159465092
40,3.9001,1.5028763360863187
41,4.0001,1.462875758885069
42,4.1001,1.3989936480698562
43,4.2001,1.4548349049452542
44,4.3001,1.4623450580481145
45,4.4001,1.4477913870161367
46,4.5001,1.4523494423915189
47,4.6001,1.5109522448008335
48,4.7001,1.4691303853931266
49,4.8001,1.4647468813133255
50,4.9001,1.4797181917324325
51,5.0001,1.325499579609825
52,5.1001,1.4417801532751549
53,5.2001,1.4899852770044284
54,5.3001,1.4254298825794802
55,5.4001,1.4190575516985369
56,5.5001,1.436283898061367
57,5.6001,1.4910987202539607
58,5.7001,1.393901527586706
59,5.8001,1.4136822845410315
60,5.9001,1.5447482460099236
61,6.0001,1.3720277253264181
62,6.1001,1.456794987321746
63,6.2001,1.4846357654999707
64,6.3001,1.476376803059717
65,6.4001,1.5026285144700744
66,6.5001,1.310327474242928
67,6.6001,1.4694196980693202
68,6.7001,1.4414932180609321
69,6.8001,1.4493735136842412
70,6.9001,1.5268323947230567
71,7.0001,1.4190288833981624
72,7.1001,1.4214831678991389
73,7.2001,1.4420432447309686
74,7.3001,1.4528501139632795
75,7.4001,1.5633226767476498
76,7.5002,1.5888680034170384
77,7.6002,1.379080392876752
78,7.7002,1.5400308842931392
79,7.8002,1.410728152661052
80,7.9002,1.4519521413527599
81,8.0002,1.3813225098448503
82,8.1002,1.489407048372937
83,8.2002,1.4491209677266406
84,8.3002,1.558440455507384
85,8.4002,1.4636570628793917
86,8.5002,1.5410326709769622
87,8.6002,1.4808165478448752
88,8.7002,1.4645840141232707
89,8.8002,1.4680486533824646
90,8.9002,1.48799299088881
91,9.0002,1.438602941419482
92,9.1002,1.429692699222691
93,9.2002,1.4659697571253476
94,9.3002,1.551102377261944
95,9.4002,1.514199598395456
96,9.5002,1.4308753778693177
97,9.6002,1.50855420487978
98,9.7002,1.4717986540209622
99,9.8002,1.4806792509214524
100,9.9002,1.5637200963185198
101,10.0002,1.463566879106257
102,10.1002,1.5464415947588361
103,10.2002,1.4720333804011048
104,10.3002,1.6141327989981602
105,10.4002,1.4321426015567753
106,10.5002,1.5278282394147573
107,10.6002,1.462691723758242
108,10.7002,1.45429263666892
109,10.8002,1.397095235476903
110,10.9002,1.504731488725295
111,11.0002,1.4518502052898359
112,11.1002,1.5778485004464182
113,11.2002,1.4432827506392854
114,11.3002,1.4168194613415979
115,11.4002,1.4246575706978655
116,11.5002,1.4234547833592834
117,11.6002,1.4919964387343205
118,11.7002,1.5279265254688854
119,11.8002,1.525840858918278
120,11.9002,1.4269207321203239
121,12.0002,1.5045640638256286
122,12.1002,1.4029565884388875
123,12.2002,1.463014880619301
124,12.3002,1.4200323612448078
125,12.4002,1.4873809755006815
126,12.5002,1.5015318229846804
127,12.6003,1.4892145637206877
128,12.7003,1.422054616613079
129,12.8003,1.485891105413076
130,12.9003,1.473750446939852
131,13.0003,1.4478762231080746
132,13.1003,1.5019352761012839
133,13.2003,1.2109774843041852
134,13.3003,1.1302429945641583
135,13.4003,1.0832454314403226
136,13.5003,1.1327411491509265
137,13.6003,1.128263111840355
138,13.7003,1.0961854975094245
139,13.8003,1.2425231555649408
140,13.9003,1.1929244975570221
141,14.0003,1.2336219419363128
142,14.1003,1.0248009667530822
