Frame,Time (ns),Solvent Accessible Surface Area 1 (2662 at...
273,27.2005,10641.44874212714
274,27.3005,10953.280200552132
275,27.4005,10986.447340126
276,27.5006,10925.276646852446
277,27.6006,10909.185385677292
278,27.7006,10778.042357681987
279,27.8006,10677.552662542314
280,27.9006,10889.139364178656
281,28.0006,11092.771688107576
282,28.1006,10834.279363525577
283,28.2006,10848.335678641457
284,28.3006,11010.732512338012
285,28.4006,10660.525852850858
286,28.5006,10640.974406482585
287,28.6006,10737.685768871323
288,28.7006,10742.901753621696
289,28.8006,10736.800786780337
290,28.9006,10778.374308658354
291,29.0006,10709.687911989933
292,29.1006,10668.887577059724
293,29.2006,10590.493340649584
294,29.3006,10632.374227417818
295,29.4006,10679.412140730004
296,29.5006,10625.525990379534
297,29.6006,10394.312706156843
298,29.7006,10587.659656726668
299,29.8006,10797.413658608686
300,29.9006,10714.669682658463
301,30.0006,10790.052735110798
302,30.1006,10653.151028431355
303,30.2006,10661.490603141883
304,30.3006,10687.090717105648
305,30.4006,10846.512455875893
306,30.5006,10761.902862062343
307,30.6006,10542.776703368454
308,30.7006,10509.749561378672
309,30.8006,10389.965336313968
310,30.9006,10382.490305788173
311,31.0006,10599.063275701586
312,31.1006,10579.389549119682
313,31.2006,10753.913240943959
314,31.3006,10723.469769059795
315,31.4006,10684.629671231045
316,31.5006,10625.674360818455
317,31.6006,10718.697333419512
318,31.7006,10561.426372451398
319,31.8006,10260.65272966253
320,31.9006,10295.65105461147
321,32.0006,10341.838982855299
322,32.1006,10657.198287670308
323,32.2006,10584.505041390115
324,32.3006,10669.009800098334
325,32.4006,10618.062467642558
326,32.5007,10600.405405236721
327,32.6007,10647.493837358974
328,32.7007,10575.575494921653
329,32.8007,10580.679997311376
330,32.9007,10868.530663153513
331,33.0007,10589.715823937373
332,33.1007,10451.589876972126
333,33.2007,10474.677372298167
334,33.3007,10417.088163221744
335,33.4007,10682.571742580494
336,33.5007,10546.309124454043
337,33.6007,10796.02919087534
338,33.7007,10634.6407771361
339,33.8007,10690.663327007738
340,33.9007,10617.273368027709
341,34.0007,10743.940835067346
342,34.1007,10450.545059239676
343,34.2007,10539.696413457947
344,34.3007,10682.400143896253
345,34.4007,10563.65134256024
346,34.5007,10572.711527969092
347,34.6007,10864.519717245457
348,34.7007,10663.67672998485
349,34.8007,10778.83962720877
350,34.9007,10630.015353675064
351,35.0007,10844.151677958986
352,35.1007,10687.642450481155
353,35.2007,10578.441105946735
354,35.3007,10729.294215700378
355,35.4007,10728.820161867709
356,35.5007,10455.560861393631
357,35.6007,10514.79709150928
358,35.7007,10639.117526342343
359,35.8007,10453.046173706374
360,35.9007,10388.948601888886
361,36.0007,10617.942760229982
362,36.1007,10372.036443406232
363,36.2007,10827.473737651677
364,36.3007,10605.099045844407
365,36.4007,10493.759681984886
366,36.5007,10443.285077775263
367,36.6007,10627.494551163505
368,36.7007,10518.278481003616
369,36.8007,10660.071404024247
370,36.9007,10789.292594502958
371,37.0007,10665.24331831811
372,37.1007,10456.672436207096
373,37.2007,10668.61498804748
374,37.3007,10532.818421986418
375,37.4007,10409.584344375337
376,37.5007,10390.576096163973
377,37.6008,10558.830390440198
378,37.7008,10432.449314299378
379,37.8008,10573.31221069965
380,37.9008,10468.544808207671
381,38.0008,10648.424617362884
382,38.1008,10575.3505932823
383,38.2008,10310.964740544807
384,38.3008,10505.273334621628
385,38.4008,10612.312484015398
386,38.5008,10693.18732817893
387,38.6008,10910.902065648492
388,38.7008,10435.34248135248
389,38.8008,10701.27533770639
390,38.9008,10484.964523449371
391,39.0008,10565.19231850608
392,39.1008,10351.998258088955
393,39.2008,10503.164451131202
394,39.3008,10811.950982799484
395,39.4008,10723.942688391831
396,39.5008,10880.93479396849
397,39.6008,10678.476308661033
398,39.7008,10879.645405374076
399,39.8008,11082.937768043299
400,39.9008,10890.708607732158
401,40.0008,10811.376126422017
402,40.1008,10727.395847696489
403,40.2008,10826.505298132664
404,40.3008,11026.542756960014
405,40.4008,11112.25468664947
406,40.5008,10808.180251539185
407,40.6008,10792.248649698275
408,40.7008,10811.865742956383
409,40.8008,10801.173498729737
410,40.9008,10913.627187215905
411,41.0008,10854.680540908474
412,41.1008,10729.335684302996
413,41.2008,10844.565826149425
414,41.3008,10715.529208489877
415,41.4008,10759.979409042142
416,41.5008,11034.054614092342
417,41.6008,11021.597795204763
418,41.7008,11019.126693065758
419,41.8008,11183.567149613838
420,41.9008,10778.768097224853
421,42.0008,11190.089780586439
422,42.1008,11141.777266886835
423,42.2008,11130.898090418574
424,42.3008,11116.466317358036
425,42.4008,11297.574720673185
426,42.5008,10989.025402708168
427,42.6009,10659.31083808556
428,42.7009,10894.93464953143
429,42.8009,11179.520211908673
430,42.9009,11128.02191275955
431,43.0009,10647.31700092687
432,43.1009,10961.036660015323
433,43.2009,11038.817636887157
434,43.3009,10652.05398919507
435,43.4009,10746.679212931393
436,43.5009,10682.449388902753
437,43.6009,10484.007595055327
438,43.7009,10727.41092084008
439,43.8009,10668.43866052022
440,43.9009,10815.49456013233
441,44.0009,10813.156323965008
442,44.1009,10613.314389288369
443,44.2009,10602.455620247627
444,44.3009,10742.993070092198
445,44.4009,10725.916910166396
446,44.5009,10723.08038422773
447,44.6009,11064.023794339304
448,44.7009,10911.294861695822
449,44.8009,10762.19385455711
450,44.9009,10831.511339799881
451,45.0009,10697.091171162148
452,45.1009,10806.027331586736
453,45.2009,10560.56083709585
454,45.3009,10494.761741239583
455,45.4009,10704.391929780757
456,45.5009,10643.579001842945
457,45.6009,10482.747294553568
458,45.7009,10307.995812318832
459,45.8009,10532.137994964569
460,45.9009,10731.62286362339
461,46.0009,10712.753362569518
462,46.1009,10934.010259188532
463,46.2009,10401.330014454805
464,46.3009,10790.007623807
465,46.4009,10785.330568336136
466,46.5009,11019.377802642774
467,46.6009,10703.149172017735
468,46.7009,10837.98334828879
469,46.8009,10588.83087562348
470,46.9009,10248.199545183013
471,47.0009,10281.172696127911
472,47.1009,10175.068425194793
473,47.2009,10370.671076697823
474,47.3009,10519.004758195226
475,47.4009,10586.615720584394
476,47.501,10875.101052724303
477,47.601,10567.53197221547
478,47.701,10527.661180128205
479,47.801,10313.21739392124
480,47.901,10453.701341238315
481,48.001,10441.515861272605
482,48.101,10699.959147399057
483,48.201,10859.412697772827
484,48.301,10748.776868845413
485,48.401,10576.662925446703
486,48.501,10420.17040939313
487,48.601,10609.293939808911
488,48.701,10618.075251104894
489,48.801,10470.669614905364
490,48.901,10706.680025539728
491,49.001,10670.837379770206
492,49.101,10510.043108508771
493,49.201,10697.543253237724
494,49.301,10818.999576845466
495,49.401,10660.535418420717
496,49.501,10593.28008913469
497,49.601,10502.987918383335
498,49.701,10976.612537738956
499,49.801,10601.876682580965
500,49.901,10444.521029195175
501,50.001,10487.450043536459
502,50.101,10783.465978224285
503,50.201,10483.568539693451
504,50.301,10530.430838381712
505,50.401,10444.679289544667
506,50.501,10417.86587906244
507,50.601,10524.594317982119
508,50.701,10378.490389813833
509,50.801,10501.540633103426
510,50.901,10435.34518095054
511,51.001,10543.570073906472
512,51.101,10506.220218385122
513,51.201,10616.002851809873
514,51.301,10659.508541312409
515,51.401,10213.782061367328
516,51.501,10365.584970164695
517,51.601,10419.237901077602
518,51.701,10457.021641955034
519,51.801,10775.632183689748
520,51.901,10439.07068679694
521,52.001,10447.506419572972
522,52.101,10546.976893315352
523,52.201,10643.552240796755
524,52.301,10472.52181048986
525,52.401,10537.637975354537
526,52.5011,10655.293503225006
527,52.6011,10541.971817745742
528,52.7011,10561.106398811731
529,52.8011,10138.470577123166
530,52.9011,10519.179348919288
531,53.0011,10616.799449029653
532,53.1011,10561.592917489546
533,53.2011,10759.336708959925
534,53.3011,10655.408872657663
535,53.4011,10672.208545463405
536,53.5011,10731.216044789004
537,53.6011,10575.812564271679
538,53.7011,10677.73777694899
539,53.8011,10194.723280981734
540,53.9011,10215.130040228327
541,54.0011,10457.902553716607
542,54.1011,10733.890304645558
543,54.2011,10798.486487000891
544,54.3011,10840.00593751244
545,54.4011,10620.985594411988
546,54.5011,10768.353267936955
547,54.6011,10802.90599566512
548,54.7011,10923.175217394175
549,54.8011,10709.436572943972
550,54.9011,10522.955026524798
551,55.0011,10559.157461340334
552,55.1011,10465.260727197934
553,55.2011,10744.301053732765
554,55.3011,10594.947048760447
555,55.4011,10402.422868882233
556,55.5011,10759.837623558593
557,55.6011,10665.808289692464
558,55.7011,10728.355703226875
559,55.8011,10777.304479363325
560,55.9011,10545.489884152963
561,56.0011,10589.500659350888
562,56.1011,10694.887146169314
563,56.2011,10776.97015520894
564,56.3011,10740.602411253603
565,56.4011,10755.219567272068
566,56.5011,10513.842070464014
567,56.6011,10659.784967762489
568,56.7011,10663.520860923334
569,56.8011,10721.161381747028
570,56.9011,10399.548026573344
571,57.0011,10333.660902709467
572,57.1011,10460.796605107498
573,57.2011,10319.370771217244
574,57.3011,10569.92607336193
575,57.4011,10467.07309979399
576,57.5012,10764.88535628883
577,57.6012,10602.131181966262
578,57.7012,10720.230027169982
579,57.8012,10471.830198031837
580,57.9012,10544.703108738251
581,58.0012,10712.756949826171
582,58.1012,10590.754332546932
583,58.2012,10686.64027964659
584,58.3012,10915.765159777768
585,58.4012,10943.617496741941
586,58.5012,10837.058319540165
587,58.6012,10912.65651947442
588,58.7012,10804.871539665086
589,58.8012,10790.527555350991
590,58.9012,10604.704545708428
591,59.0012,10895.05647307269
592,59.1012,10946.954784057069
593,59.2012,10879.099318783095
594,59.3012,10635.065627101621
595,59.4012,10540.144346386713
596,59.5012,10691.61091604841
597,59.6012,10605.245363989427
598,59.7012,10587.251295953629
599,59.8012,10493.64786424786
600,59.9012,10779.628882387133
601,60.0012,10859.874619264121
602,60.1012,10739.75464893299
603,60.2012,10780.544861688833
604,60.3012,10729.610222674366
605,60.4012,10424.31883638763
606,60.5012,10808.236469155558
607,60.6012,10509.018548975399
608,60.7012,10551.58679735297
609,60.8012,10638.469359707851
610,60.9012,10454.97766011648
611,61.0012,10644.14172186853
612,61.1012,10510.036764680872
613,61.2012,10403.608598193037
614,61.3012,10707.969728173492
615,61.4012,10649.610414170427
616,61.5012,10874.830704560949
617,61.6012,10747.381595278206
618,61.7012,10679.741885602063
619,61.8012,10670.84454280658
620,61.9012,10152.928422493591
621,62.0012,10365.186812455555
622,62.1012,10660.10363406
623,62.2012,10826.215404616974
624,62.3012,10374.082403703153
625,62.4012,10410.24815732725
626,62.5012,10551.451527891615
627,62.6013,10728.454116328458
628,62.7013,10871.812379471874
629,62.8013,10922.657534386111
630,62.9013,10784.814270319766
631,63.0013,10606.47391520664
632,63.1013,10551.35086148184
633,63.2013,10448.324686454402
634,63.3013,10565.920220939408
635,63.4013,10617.42545223641
636,63.5013,10599.453867737717
637,63.6013,10594.705865867732
638,63.7013,10817.992319964667
639,63.8013,10746.98044902248
640,63.9013,10409.213548928796
641,64.0013,10386.607696629751
642,64.1013,10523.14891298696
643,64.2013,10671.793743710265
644,64.3013,10889.282541738268
645,64.4013,11080.623695098015
646,64.5013,10750.853019036258
647,64.6013,10937.242607307244
648,64.7013,10998.652606254745
649,64.8013,10717.649418721816
650,64.9013,10997.354980583645
651,65.0013,10752.182782492922
652,65.1013,10628.644246772954
653,65.2013,10609.279762779746
654,65.3013,10713.892150004753
655,65.4013,10835.187928677402
656,65.5013,10814.404778638607
657,65.6013,10618.64372968639
658,65.7013,10424.677694704693
659,65.8013,10581.897533838619
660,65.9013,10621.937928885996
661,66.0013,10599.716910051926
662,66.1013,10553.369070661049
663,66.2013,10635.007279761649
664,66.3013,10670.537348203485
665,66.4013,10683.041840837206
666,66.5013,10646.80180031337
667,66.6013,10460.600053042324
668,66.7013,10842.600849487635
669,66.8013,10609.764935814777
670,66.9013,10520.66050507446
671,67.0013,10645.84993335192
672,67.1013,10723.189791955838
673,67.2013,10746.050641521002
674,67.3013,10841.201338761037
675,67.4013,10671.235287109283
676,67.5014,10632.654790160057
677,67.6014,10711.974015983245
678,67.7014,10650.640948485427
679,67.8014,10594.63799514861
680,67.9014,10664.690981766342
681,68.0014,10691.366605298077
682,68.1014,10583.741615660208
683,68.2014,10565.645627599286
684,68.3014,10552.91812278242
685,68.4014,10556.425139442941
686,68.5014,10653.872660595254
687,68.6014,10332.9705696548
688,68.7014,10379.170288461904
689,68.8014,10877.904220061242
690,68.9014,10495.323459140749
691,69.0014,10560.91786971652
692,69.1014,10920.369666959037
693,69.2014,10658.930519694482
694,69.3014,10837.541770555299
695,69.4014,10495.341809374553
696,69.5014,10446.687082044253
697,69.6014,10649.765755790822
698,69.7014,10305.831816740903
699,69.8014,10626.680902594293
700,69.9014,10451.061457207186
701,70.0014,10437.68073742204
702,70.1014,10363.77275894529
703,70.2014,10318.522104511141
704,70.3014,10481.18630845426
705,70.4014,10259.074927089645
706,70.5014,10386.67991516067
707,70.6014,10144.204123559302
708,70.7014,10391.78521318198
709,70.8014,10537.27202391824
710,70.9014,10524.868342113343
711,71.0014,10335.126314903851
712,71.1014,9970.493044133154
713,71.2014,10356.377294373666
714,71.3014,10267.068472282626
715,71.4014,10260.698094149191
716,71.5014,10548.495601557948
717,71.6014,10422.54223575497
718,71.7014,10476.59715842972
719,71.8014,10567.346822548188
720,71.9014,10389.320028358236
721,72.0014,10660.098445900498
722,72.1014,10518.172042342941
723,72.2014,10168.996846054959
724,72.3014,10470.30239330431
725,72.4014,10575.04832324209
726,72.5014,10603.616051076167
727,72.6015,10453.33069839739
728,72.7015,10581.374693484446
729,72.8015,10368.175032001118
730,72.9015,10435.449847180793
731,73.0015,10241.623699675965
732,73.1015,10234.249423490115
733,73.2015,10343.106154511179
734,73.3015,10276.528553394362
735,73.4015,10288.200375859858
736,73.5015,10460.73897293419
737,73.6015,10309.67208495082
738,73.7015,10483.765433315759
739,73.8015,10484.703765608694
740,73.9015,10226.112912629947
741,74.0015,10454.246737605476
742,74.1015,10428.111560961555
743,74.2015,10403.62251833262
744,74.3015,10529.109543613493
745,74.4015,10423.880196323196
746,74.5015,10427.790036404933
747,74.6015,10372.993354569266
748,74.7015,10620.56335783459
749,74.8015,10328.175539654732
750,74.9015,10671.643976603726
751,75.0015,10543.88229858574
752,75.1015,10798.188116698306
753,75.2015,10695.162853189302
754,75.3015,10704.161957809905
755,75.4015,10637.022271282023
756,75.5015,10587.325688671444
757,75.6015,10288.455662523884
758,75.7015,10180.594300228848
759,75.8015,10208.131606496612
760,75.9015,10335.080320649886
761,76.0015,10472.715991413172
762,76.1015,10650.026138752066
763,76.2015,10684.305747386157
764,76.3015,10614.638228217811
765,76.4015,10277.82003489366
766,76.5015,10494.06709794795
767,76.6015,10339.384567871031
768,76.7015,10669.150940608573
769,76.8015,10819.373716501777
770,76.9015,10357.932192659855
771,77.0015,10609.758068128245
772,77.1015,10616.084646498426
773,77.2015,10448.136121034835
774,77.3015,10695.767306114665
775,77.4015,10371.308442911746
776,77.5016,10742.963891464933
777,77.6016,10711.000454422889
778,77.7016,10854.701482549512
779,77.8016,10708.08917186436
780,77.9016,10514.659374782157
781,78.0016,10455.26758527592
782,78.1016,10618.971201836563
783,78.2016,10304.744730541363
784,78.3016,10224.437380247782
785,78.4016,10351.583472068669
786,78.5016,10807.024341186554
787,78.6016,10507.41604073955
788,78.7016,10738.47960213604
789,78.8016,10623.899273497871
790,78.9016,10838.823962649862
791,79.0016,10845.184106040251
792,79.1016,10655.366746173671
793,79.2016,10632.894170428068
794,79.3016,10630.718208242562
795,79.4016,10657.389728867778
796,79.5016,10685.513697209766
797,79.6016,10626.187429924255
798,79.7016,10651.345171408973
799,79.8016,10396.873933384606
800,79.9016,10397.306244512765
801,80.0016,10589.408313903317
802,80.1016,10526.568993174946
803,80.2016,10464.025870321724
804,80.3016,10350.376138559584
805,80.4016,10327.457576828316
806,80.5016,10216.011840480578
807,80.6016,10059.716795296967
808,80.7016,9945.76096668013
809,80.8016,10301.4854464207
810,80.9016,9940.987759469828
811,81.0016,9963.771486000645
812,81.1016,10043.970604056307
813,81.2016,10314.887558898265
814,81.3016,10482.355965038972
815,81.4016,10237.844846739305
816,81.5016,10193.379274116933
817,81.6016,10261.794470977871
818,81.7016,10457.028916156909
819,81.8016,10368.453915929902
820,81.9016,10098.284588387178
821,82.0016,10274.277348195756
822,82.1016,10508.001445856431
823,82.2016,10271.900478238438
824,82.3016,10542.47668425822
825,82.4016,10350.782897406836
826,82.5017,10197.213016527223
827,82.6017,10204.780996301572
828,82.7017,10447.30717571885
829,82.8017,10264.772590436596
830,82.9017,10323.755001428755
831,83.0017,10183.9896701434
832,83.1017,10075.492110222134
833,83.2017,10215.919790797789
834,83.3017,10252.030592319916
835,83.4017,10222.734717484902
836,83.5017,10305.751615703555
837,83.6017,10380.729381662291
838,83.7017,10680.75761057737
839,83.8017,10491.812705881435
840,83.9017,10951.024232978956
841,84.0017,11021.26041212552
842,84.1017,10781.585290722796
843,84.2017,10609.27918877682
844,84.3017,10786.934077356882
845,84.4017,10743.037484947736
846,84.5017,10773.380565379379
847,84.6017,10984.823304166808
848,84.7017,10652.33342939322
849,84.8017,10523.79721357668
850,84.9017,10797.334377170882
851,85.0017,10359.324922575452
852,85.1017,10674.594224119386
853,85.2017,10831.376915607552
854,85.3017,10651.6486766937
855,85.4017,10482.987333806688
856,85.5017,10690.92512001491
857,85.6017,10623.582111827622
858,85.7017,10491.672917089727
859,85.8017,10728.76486266992
860,85.9017,10769.588101599908
861,86.0017,10613.212433415685
862,86.1017,10649.456826973088
863,86.2017,10674.779255127414
864,86.3017,10520.538062661526
865,86.4017,10718.617274932869
866,86.5017,10512.453414642912
867,86.6017,10399.967557752465
868,86.7017,10433.496442606775
869,86.8017,10403.594149532115
870,86.9017,10293.824139590157
871,87.0017,10477.070191225423
872,87.1017,10220.399450491343
873,87.2017,10440.185229886483
874,87.3017,10524.711599669046
875,87.4017,10437.988926217024
876,87.5018,10372.371664820686
877,87.6018,10383.34228629918
878,87.7018,10449.454769221791
879,87.8018,10315.267854213256
880,87.9018,10520.684022741512
881,88.0018,10477.203487359597
882,88.1018,10536.190129698749
883,88.2018,10563.313667391034
884,88.3018,10567.847654670431
885,88.4018,10319.828741450041
886,88.5018,10593.50442779647
887,88.6018,10669.85678063826
888,88.7018,10453.366606658381
889,88.8018,10311.048764154424
890,88.9018,10301.78632633173
891,89.0018,9935.350653740457
892,89.1018,10141.922202327063
893,89.2018,10395.072802846998
894,89.3018,10401.571496652863
895,89.4018,10434.816307855266
896,89.5018,10833.035301232705
897,89.6018,10160.907162505919
898,89.7018,10528.634925618688
899,89.8018,10529.476033716792
900,89.9018,10471.315791534373
901,90.0018,10832.617174071496
902,90.1018,10605.781222055104
903,90.2018,10520.263409247427
904,90.3018,10386.480135823598
905,90.4018,10354.369683774321
906,90.5018,10788.46708296273
907,90.6018,10645.120143932167
908,90.7018,10669.524178401578
909,90.8018,10840.811217987493
910,90.9018,10842.851975533486
911,91.0018,10957.46910438612
912,91.1018,10922.900109692986
913,91.2018,10771.060170225488
914,91.3018,10404.55843288344
915,91.4018,10618.871922912505
916,91.5018,10635.670927503956
917,91.6018,10513.880373931292
918,91.7018,10596.18419460256
919,91.8018,10475.295076201564
920,91.9018,10548.125625970062
921,92.0018,10464.955144973048
922,92.1018,10653.830223812029
923,92.2018,10806.716977884382
924,92.3018,10728.724761866612
925,92.4018,10823.96853654853
926,92.5019,10779.351301459403
927,92.6019,10616.672313254334
928,92.7019,10430.52685109731
929,92.8019,10753.588800797072
930,92.9019,10715.88201811063
931,93.0019,10601.48364427746
932,93.1019,10647.36177754885
933,93.2019,10784.19540825257
934,93.3019,10416.81277273443
