"frame","MMGBSA dG Bind","MMGBSA dG Bind Coulomb","MMGBSA dG Bind Covalent","MMGBSA dG Bind Hbond","MMGBSA dG Bind Lipo","MMGBSA dG Bind Packing","MMGBSA dG Bind SelfCont","MMGBSA dG Bind Solv GB","MMGBSA dG Bind vdW"
1801,23.30,125.62,3.02,1.28,-4.98,-2.00,0.02,-73.39,-26.25
1801,-13.07,83.14,-7.77,1.43,-2.45,-3.39,-0.88,-62.31,-20.84
1801,-2.90,80.78,10.41,-2.06,-6.76,-0.38,-0.13,-62.87,-21.88
1801,-6.94,47.77,0.09,-1.97,-3.80,-1.75,1.02,-25.67,-22.62
1801,-12.95,94.26,-6.85,-1.01,-0.38,0.18,0.02,-76.66,-22.51
1801,8.32,38.12,4.27,-3.20,2.47,-0.43,0.86,-17.28,-16.48
1801,-12.65,93.98,-11.00,1.74,-7.97,0.47,0.18,-56.92,-33.13
1801,-48.74,68.21,2.75,-5.96,-8.15,-2.27,0.15,-70.95,-32.52
1801,7.61,102.44,-7.56,0.41,-1.68,-0.94,-0.75,-55.19,-29.12
1801,-13.83,39.03,-3.89,-1.70,0.65,-2.87,0.01,-25.14,-19.92
1801,-20.98,41.42,4.02,-3.13,-3.18,-0.95,0.04,-34.63,-24.57
1801,-7.84,79.43,5.93,0.38,-1.33,-1.10,0.22,-73.66,-17.71
1801,-37.08,35.03,9.25,-3.62,-7.26,-1.98,0.01,-31.49,-37.02
1801,8.74,46.01,3.42,0.72,-1.66,0.13,-0.09,-19.81,-19.97
1801,-21.34,47.36,-2.86,-1.72,0.65,-0.21,0.35,-41.22,-23.67
1801,-32.59,93.85,-5.41,-1.52,-2.75,-0.43,0.17,-85.52,-31.01
1801,-22.94,48.31,13.40,-2.01,-7.74,-0.62,0.28,-21.97,-52.59
1801,-16.74,57.75,17.27,-2.31,-4.30,-0.90,0.51,-39.18,-45.58
1801,-20.29,33.20,7.69,-3.00,-8.29,-0.92,1.05,-31.33,-18.68
1801,-2.82,124.42,-28.89,7.66,1.09,-2.96,0.36,-96.34,-8.16
1801,-20.08,103.79,18.57,-3.73,-13.07,-2.55,-0.19,-82.43,-40.47
1801,-21.21,84.93,-3.06,1.07,-2.55,-1.18,-1.68,-70.35,-28.39
1801,-20.09,69.65,6.18,-1.51,-7.17,-2.20,-0.00,-49.08,-35.94
1801,-5.14,71.37,12.39,-1.93,-5.79,-3.11,0.25,-39.59,-38.73
1801,-31.25,80.85,11.51,-3.58,-6.72,-0.95,-1.90,-65.39,-45.08
1801,-19.41,67.05,-7.40,-1.50,-4.07,-1.80,-0.01,-39.69,-31.99
1801,-42.64,86.87,-6.83,-2.62,-6.40,-1.37,-0.28,-69.99,-42.01
1801,-25.35,51.74,-35.82,-0.33,8.49,-2.17,0.28,-52.78,5.25
1801,-16.12,37.16,-3.45,-5.13,1.32,-1.41,-0.56,-20.44,-23.60
1801,-29.66,56.40,2.38,-2.02,-9.34,-3.41,-0.39,-32.16,-41.12
1801,-11.85,72.87,-7.13,1.19,-4.55,0.23,1.15,-41.59,-34.03
1801,-3.01,88.48,-9.12,-1.85,-5.94,-0.72,-0.59,-48.32,-24.95
1801,-6.71,71.29,-3.38,-0.06,-1.04,-3.27,0.53,-38.04,-32.74
1801,-8.29,66.32,-5.05,-0.73,3.13,-1.16,-0.31,-45.78,-24.69
1801,-33.12,82.93,16.34,-4.78,-1.31,-1.41,-0.02,-80.92,-43.95
1801,-24.73,53.29,10.75,-3.44,-7.22,-2.09,0.50,-32.71,-43.84
1801,-22.98,53.16,14.06,-5.66,-2.39,-0.86,0.03,-43.30,-38.02
1801,-26.92,34.13,0.55,-5.69,0.06,-1.88,3.16,-27.11,-30.16
1801,-3.00,119.34,12.24,-3.46,-8.54,0.86,0.83,-72.20,-52.06
1801,-24.92,53.56,21.33,-6.25,-4.90,0.96,-0.24,-38.35,-51.03
1801,-37.63,50.97,-14.45,-2.90,-0.31,-1.55,-3.83,-49.15,-16.41
1801,-26.06,35.65,21.82,-5.22,-5.98,-1.89,0.71,-22.41,-48.75
1801,-17.89,65.19,-2.10,-1.99,0.85,-2.90,0.26,-55.35,-21.85
1801,-16.26,62.45,-7.78,-5.16,1.84,-2.62,0.34,-53.04,-12.29
1801,-2.56,61.92,18.29,-1.49,-2.95,-4.90,0.32,-48.68,-25.07
1801,-36.32,56.39,20.96,-4.66,-9.39,-3.33,0.78,-41.83,-55.25
1801,-15.23,88.46,6.05,-2.85,-5.58,-0.91,0.07,-61.71,-38.78
1801,2.51,65.69,9.11,-0.22,-1.13,-0.69,0.17,-42.39,-28.02
1801,-0.38,55.88,4.46,-2.16,-0.67,1.18,-0.11,-24.67,-34.29
1801,0.04,92.74,-0.57,-1.32,2.61,-1.55,-0.18,-65.98,-25.72
1801,-0.91,91.15,-7.67,-1.71,-0.41,-0.99,0.01,-67.65,-13.62
1801,0.50,95.38,-4.99,1.51,0.06,-2.62,-0.28,-66.30,-22.26
1801,-77.03,1.56,22.50,-12.14,-18.02,-3.59,0.11,-0.92,-66.53
1801,-30.53,54.82,3.14,-3.82,-5.76,-2.04,0.56,-44.25,-33.17
1801,-17.35,73.19,3.41,-3.94,-6.66,-2.27,0.57,-51.12,-30.55
1801,10.42,123.40,-6.44,2.76,-4.14,0.24,-0.78,-76.44,-28.19
1801,-32.21,44.88,13.81,-6.23,-10.42,0.20,-0.36,-29.31,-44.80
1801,-50.17,5.15,24.06,-7.27,-8.24,-3.21,0.24,-15.40,-45.50
1801,-11.00,99.38,0.95,1.18,-7.91,-1.38,0.51,-66.23,-37.51
1801,-36.40,65.44,13.51,-2.16,-10.20,-2.43,0.17,-51.50,-49.22
1801,-37.61,41.45,17.64,-4.77,-5.46,-3.34,0.56,-28.99,-54.70
1801,-11.46,79.95,-15.77,-0.25,-2.44,-2.39,-0.04,-54.85,-15.67
1801,-20.46,58.79,16.84,-4.27,-9.00,-3.04,0.71,-36.85,-43.65
1801,-2.07,71.36,-5.86,1.40,-1.88,-1.83,-0.18,-39.53,-25.56
1801,-16.82,91.80,-0.69,-0.52,-4.90,-1.78,-0.26,-65.74,-34.72
1801,-20.38,39.33,20.95,-5.43,-6.56,-1.63,-0.08,-31.50,-35.46
1801,-10.60,46.21,8.77,-2.17,1.43,0.29,0.12,-58.90,-6.34
1801,-35.94,58.30,8.02,-6.47,-5.95,-2.31,-0.74,-38.82,-47.98
1801,-12.78,73.67,2.49,-1.72,-7.61,-3.42,0.54,-43.97,-32.78
1801,-45.09,89.47,17.13,-4.08,-16.51,-2.32,-0.25,-72.96,-55.57
1801,17.41,103.40,-2.53,1.27,-6.43,-0.87,2.51,-42.05,-37.89
1801,-17.14,91.53,11.73,-1.01,-8.37,-2.51,-0.02,-66.01,-42.49
1801,-9.58,84.65,-1.47,-1.49,-2.37,-0.78,0.14,-74.60,-13.65
1801,5.86,69.23,32.45,-1.57,-5.50,-0.36,0.40,-66.37,-22.42
1801,-13.86,46.60,17.98,-3.35,-3.35,-1.48,0.14,-36.75,-33.66
1801,-22.45,5.71,25.13,-5.98,-6.01,-2.38,1.76,-16.25,-24.43
1801,-37.47,-6.69,11.33,-2.47,-3.54,-4.14,0.19,-17.52,-14.65
1801,-35.69,73.05,22.81,-3.37,-9.92,-1.88,-1.18,-62.52,-52.67
1801,-28.17,-8.00,-4.75,1.48,-1.66,-1.74,-0.17,-3.23,-10.11
1801,-21.36,143.60,-4.77,0.65,-8.07,-1.93,-0.45,-115.88,-34.51
1801,-37.14,23.25,7.80,-3.87,-6.63,-1.93,-0.54,-36.74,-18.47
1801,-25.50,38.82,5.51,-3.02,-5.19,-2.41,0.64,-25.82,-34.04
1801,-41.90,-0.31,22.94,-9.51,-5.20,-3.63,0.41,-27.59,-19.00
1801,-28.80,19.50,0.96,-2.28,-6.44,-2.90,0.21,-20.20,-17.64
1801,-16.96,26.90,4.92,-2.13,-4.30,-2.99,0.42,-18.96,-20.83
1801,9.05,109.85,-11.19,0.47,-5.34,-3.67,0.49,-62.06,-19.52
1801,-22.61,64.67,5.26,-0.97,-4.47,-0.66,-0.49,-57.40,-28.54
1801,-20.81,74.99,-14.34,0.41,0.24,0.67,0.19,-60.15,-22.82
1801,-20.93,91.95,-2.71,0.47,-2.49,-2.56,0.66,-83.48,-22.77
1801,-27.24,78.16,2.05,1.62,-5.85,-1.60,0.53,-66.74,-35.41
1801,-18.85,40.06,-2.81,-2.11,-1.69,-2.57,0.02,-45.55,-4.20
1801,-20.32,60.21,-3.02,-1.11,-4.17,-2.85,0.14,-47.45,-22.07
1801,-17.99,69.55,18.93,0.80,-8.70,-1.45,1.65,-43.80,-54.96
1801,-17.15,39.37,6.85,-2.37,-5.01,1.41,0.52,-31.90,-26.02
1801,-8.61,86.43,3.35,0.63,-7.94,0.17,1.57,-50.86,-41.96
1801,-31.31,52.86,22.32,-3.93,-8.88,-0.86,0.16,-60.18,-32.78
1801,-43.31,21.25,11.17,-4.55,-5.07,0.51,-0.67,-21.68,-44.26
1801,9.06,76.32,2.63,1.60,2.66,0.24,4.25,-73.45,-5.20
1801,-9.56,78.72,-6.35,2.98,-1.61,0.56,0.23,-59.54,-24.55
1801,-8.57,95.35,9.69,0.56,-4.61,-0.24,0.35,-71.23,-38.45
1801,-63.30,17.62,16.30,-6.41,-6.93,-1.02,0.14,-48.64,-34.37
1801,-19.07,107.32,-8.48,-1.14,-4.22,-1.45,0.20,-76.33,-34.96
1801,32.09,133.65,-1.36,4.78,-5.81,-0.09,1.08,-74.43,-25.74
1801,-22.26,76.97,-0.43,-1.92,-4.83,-1.05,0.26,-58.17,-33.08
1801,-32.23,66.36,-0.19,-3.14,-8.53,1.36,-0.97,-63.51,-23.61
1801,-25.07,77.55,10.78,-2.47,-5.67,-0.41,0.82,-75.30,-30.37
1801,-13.07,56.54,12.34,-2.29,-7.83,-3.25,4.18,-33.07,-39.68
1801,-49.97,36.46,4.27,-7.03,-6.41,-2.41,0.67,-27.72,-47.79
1801,-11.88,93.99,-1.85,2.61,-3.04,-0.78,-0.16,-88.31,-14.35
1801,-20.25,33.28,22.67,-7.92,-7.35,-4.20,0.17,-13.31,-43.59
1801,-26.14,44.30,4.48,-2.54,-4.90,-1.58,0.70,-31.36,-35.24
1801,-12.26,81.74,-9.30,1.58,-2.08,-1.11,-1.21,-59.27,-22.60
1801,-30.68,38.67,6.23,-3.47,-3.68,0.49,0.49,-46.83,-22.58
1801,-44.07,6.22,33.94,-5.60,-12.44,-2.28,2.31,-6.46,-59.75
1801,-20.74,82.74,18.79,-0.00,-10.51,-3.31,-0.31,-70.18,-37.96
1801,-43.78,91.05,12.87,-3.58,-10.51,-1.38,0.37,-77.19,-55.41
