Frame,Time (ns),RMSD
1,0.0,3.109039954762067e-06
2,0.100002,1.9785906310350474
3,0.200004,2.5031016854562256
4,0.30000600000000005,2.2682275244765226
5,0.400008,2.5904269179415187
6,0.50001,2.749137190806105
7,0.6000120000000001,2.8550500440515543
8,0.700014,3.0160020741500757
9,0.800016,3.1903505825543776
10,0.900018,3.3350393782512717
11,1.00002,3.1953031635650513
12,1.1000219999999998,3.1132973834019686
13,1.2000240000000002,3.314147837041946
14,1.3000260000000001,3.068935247624613
15,1.400028,3.0398513761528787
16,1.50003,2.8599457154483443
17,1.600032,3.137317582258271
18,1.700034,3.5021206449764373
19,1.800036,3.1924143150884934
20,1.9000380000000001,3.5706458622609794
21,2.00004,3.1232717421137632
22,2.1000419999999997,3.8604632013032436
23,2.2000439999999997,3.6479526631536374
24,2.300046,3.5076164599141246
25,2.4000480000000004,3.723693818656656
26,2.5000500000000003,3.536058966287386
27,2.6000520000000003,3.556322698938573
28,2.700054,3.3447277299038993
29,2.800056,3.226012945886116
30,2.900058,3.4428368056685903
31,3.00006,3.4685146967972744
32,3.100062,3.7834808414249244
33,3.200064,3.8473265319598133
34,3.300066,3.9520821729968896
35,3.400068,4.001290665310436
36,3.50007,4.585611826299503
37,3.600072,4.226082936601124
38,3.700074,4.027302764563765
39,3.8000760000000002,3.8771223673821082
40,3.900078,4.036920435234755
41,4.00008,4.052174988630714
42,4.1000820000000004,4.191808268790097
43,4.2000839999999995,4.381106155065476
44,4.300086,4.196703848959423
45,4.400087999999999,4.376290968282699
46,4.50009,4.151914131271114
47,4.600092,4.531835086026625
48,4.700094,4.384145112592868
49,4.800096000000001,3.975687929561352
50,4.900098,3.8512100226028654
51,5.000100000000001,4.341096977305572
52,5.100102,5.032765891792395
53,5.2001040000000005,4.954904078204247
54,5.3001059999999995,5.428972332483229
55,5.400108,5.405659428036951
56,5.500109999999999,5.790816687538708
57,5.600112,5.861761334797537
58,5.700114,5.557465696849638
59,5.800116,5.736289314259191
60,5.900118,5.608439581072603
61,6.00012,5.422436243710412
62,6.100122000000001,5.732421252208447
63,6.200124,5.536798924290731
64,6.300126000000001,5.640256109108481
65,6.400128,5.8975486273858735
66,6.50013,5.97147845142051
67,6.600132,5.937777386752203
68,6.700134,6.053282836201868
69,6.800136,6.148933235721898
70,6.900138,5.697102858212218
71,7.00014,6.079865878498197
72,7.100142,6.369088189550763
73,7.200144,6.033586625322225
74,7.300146,6.497154713358977
75,7.400148,6.160937574642553
76,7.5001500000000005,5.868895251487965
77,7.6001520000000005,5.6263402989283176
78,7.700154,5.62695925833641
79,7.800156,5.822917434139576
80,7.900158,5.856152841729299
81,8.00016,5.893603591966269
82,8.100162000000001,5.502518994641189
83,8.200164000000001,5.170290099526834
