"frame","MMGBSA dG Bind","MMGBSA dG Bind Coulomb","MMGBSA dG Bind Covalent","MMGBSA dG Bind Hbond","MMGBSA dG Bind Lipo","MMGBSA dG Bind Packing","MMGBSA dG Bind SelfCont","MMGBSA dG Bind Solv GB","MMGBSA dG Bind vdW"
3867,-41.35,22.12,10.02,-3.06,-15.72,-5.21,0.00,-10.11,-39.40
3868,-36.68,9.96,3.58,-0.10,-13.84,-4.36,0.00,1.70,-33.63
3869,-41.79,22.95,17.25,-4.39,-14.24,-8.14,0.00,-10.49,-44.71
3870,-37.49,44.65,4.06,-1.27,-13.20,-5.06,0.00,-36.05,-30.62
3871,-36.84,-2.49,7.91,-1.48,-15.13,-3.97,0.00,18.42,-40.10
3872,-45.72,13.80,12.13,-1.56,-19.84,-4.96,0.00,3.94,-49.23
3873,-57.31,8.44,9.61,-3.14,-19.05,-7.97,0.00,4.65,-49.86
3874,-30.98,42.16,-3.14,0.25,-11.89,-2.38,0.00,-27.41,-28.56
3875,-41.85,26.08,1.16,-2.41,-13.05,-4.56,0.00,-20.34,-28.73
3876,-46.28,10.82,8.03,-3.85,-13.23,-6.55,0.00,-6.30,-35.19
3877,-36.02,27.24,5.34,-3.39,-15.78,-6.38,0.00,-4.65,-38.40
3878,-45.49,25.25,6.14,-1.17,-17.93,-3.86,0.00,-12.58,-41.34
3879,-29.11,51.25,5.69,-1.00,-15.99,-3.87,0.00,-20.75,-44.44
3880,-38.94,42.61,0.66,-0.51,-16.11,-2.45,0.00,-25.15,-37.99
3881,-41.91,16.05,1.83,-1.08,-14.98,-3.07,0.00,-8.73,-31.93
3882,-39.83,44.46,3.70,-1.42,-15.38,-3.73,0.00,-33.07,-34.39
3883,-39.95,3.52,5.21,-2.01,-12.37,-3.88,0.00,-4.09,-26.33
3884,-40.07,30.95,1.65,-2.71,-8.50,-6.11,0.00,-32.98,-22.36
3885,-31.07,36.38,2.59,-2.69,-9.09,-5.42,0.00,-25.94,-26.90
3886,-37.40,0.64,10.10,-3.98,-11.14,-3.44,0.00,3.68,-33.28
3887,-34.89,21.48,-0.02,-1.57,-8.03,-5.07,0.00,-16.85,-24.82
3888,-41.97,13.46,7.10,-2.47,-10.71,-3.60,0.00,-17.98,-27.76
3889,-25.71,39.13,7.76,-1.20,-9.34,-4.10,0.00,-28.89,-29.07
3890,-41.82,7.48,3.59,-2.40,-14.66,-4.28,0.00,-2.41,-29.15
3891,-41.00,32.26,10.38,-2.08,-12.11,-5.27,0.00,-27.86,-36.31
3892,-38.07,35.96,9.00,-2.33,-10.70,-5.18,0.00,-31.39,-33.44
3893,-60.11,-36.77,24.83,-5.68,-13.56,-6.80,0.00,7.91,-30.03
3894,-35.74,2.84,17.27,-4.66,-11.65,-4.22,0.00,-9.50,-25.83
3895,-46.56,8.27,6.65,-1.99,-12.87,-4.38,0.00,-14.51,-27.72
3896,-51.44,-1.10,11.12,-5.68,-13.84,-3.86,0.00,-3.87,-34.21
3897,-52.84,12.09,13.58,-4.74,-12.77,-6.74,0.00,-16.26,-38.00
3898,-41.23,12.79,11.61,-2.12,-9.50,-6.95,0.00,-11.06,-36.00
3899,-18.85,18.86,2.48,-2.55,-6.45,-1.38,0.00,-13.80,-16.01
3900,-13.01,31.73,-1.77,-0.35,-4.29,-2.50,0.00,-21.28,-14.56
3901,-39.97,-16.69,5.06,-3.88,-9.82,-2.14,0.00,18.04,-30.54
3902,-48.76,7.38,4.70,-1.70,-13.77,-2.49,0.00,-16.38,-26.51
3903,-38.86,-5.10,6.88,-2.45,-11.61,-2.23,0.00,12.76,-37.11
3904,-30.71,16.81,8.72,-0.87,-14.88,-3.11,0.00,-0.65,-36.72
3905,-29.77,19.36,6.89,-2.73,-7.80,-0.74,0.00,-13.79,-30.96
3906,-36.60,25.01,1.93,-0.87,-10.36,-4.11,0.00,-1.02,-47.16
3907,-23.98,18.11,4.83,-1.97,-6.96,-0.84,0.00,-16.98,-20.17
3908,-21.70,8.42,0.61,-2.23,-4.00,-0.79,0.00,2.12,-25.82
3909,-47.57,3.81,2.14,-2.98,-7.89,-1.07,0.00,-9.87,-31.71
3910,-39.16,6.69,0.88,-2.99,-3.63,-1.10,0.00,-19.89,-19.11
3911,-43.76,19.42,1.10,-2.54,-6.24,-0.55,0.00,-17.24,-37.70
