Frame,Time (ns),Radius of Gyration
1,0.0,8.400643002355705
2,0.100002,8.068271460082734
3,0.200004,8.22602906550306
4,0.30000600000000005,7.868785234406091
5,0.400008,7.476760795204729
6,0.50001,8.043959102435709
7,0.6000120000000001,7.6135367729909085
8,0.700014,7.843817752014224
9,0.800016,7.591637535668876
10,0.900018,7.644297903727575
11,1.00002,7.545807538028678
12,1.1000219999999998,7.714873106262304
13,1.2000240000000002,7.290905391111591
14,1.3000260000000001,7.402707830798764
15,1.400028,7.586509974470321
16,1.50003,7.241467986171131
17,1.600032,7.5949375176952865
18,1.700034,7.283928009359754
19,1.800036,7.659488374843317
20,1.9000380000000001,7.759589231188229
21,2.00004,7.459733435381617
22,2.1000419999999997,7.365481498995707
23,2.2000439999999997,7.495365811898262
24,2.300046,7.234571990146125
25,2.4000480000000004,7.523562901322523
26,2.5000500000000003,7.68392708515101
27,2.6000520000000003,7.620740490205253
28,2.700054,7.605211680902729
29,2.800056,7.663427529667683
30,2.900058,7.313142903474531
31,3.00006,7.588109326518826
32,3.100062,7.355668598030994
33,3.200064,7.601772453825098
34,3.300066,7.4714322390733745
35,3.400068,7.581631290395752
36,3.50007,7.707064298935663
37,3.600072,7.663760644241231
38,3.700074,7.623805892804313
39,3.8000760000000002,7.8767666748061
40,3.900078,7.624424884341286
41,4.00008,7.603741880253264
42,4.1000820000000004,7.839216069974945
43,4.2000839999999995,8.068855966263584
44,4.300086,7.8568082356216395
45,4.400087999999999,7.926013577306057
46,4.50009,7.7409509362782885
47,4.600092,7.717622757371725
48,4.700094,7.439925138510065
49,4.800096000000001,7.446538344158297
50,4.900098,7.092603732249187
51,5.000100000000001,6.996129775463604
52,5.100102,6.843177819169628
53,5.2001040000000005,7.054775020855855
54,5.3001059999999995,6.936595578110341
55,5.400108,6.7740782106680175
56,5.500109999999999,7.120214924407531
57,5.600112,6.879714140885016
58,5.700114,6.838448254185724
59,5.800116,6.67012096759891
60,5.900118,7.2501439156950065
61,6.00012,6.877410365991515
62,6.100122000000001,6.8703064023937666
63,6.200124,6.718995966196887
64,6.300126000000001,7.228038909754834
65,6.400128,7.2052782836639375
66,6.50013,7.131826517320418
