Frame,Time (ns),Radius of Gyration
1,0.0,23.580059189637545
2,0.100002,23.503208364255155
3,0.200004,23.984367718510647
4,0.30000600000000005,23.614770906990515
5,0.400008,23.983165673929737
6,0.50001,23.76269583920431
7,0.6000120000000001,23.853338179844688
8,0.700014,23.599603546564406
9,0.800016,23.578770857222306
10,0.900018,23.505752003478108
11,1.00002,23.77653129436282
12,1.1000219999999998,23.794832003576108
13,1.2000240000000002,23.851502750630754
14,1.3000260000000001,23.813090378321593
15,1.400028,23.95832216439602
16,1.50003,23.774708965148825
17,1.600032,23.65311841789701
18,1.700034,23.363974740811422
19,1.800036,23.44225409771476
20,1.9000380000000001,23.848962235482176
21,2.00004,23.378177835790357
22,2.1000419999999997,23.66155809682603
23,2.2000439999999997,23.236569921863556
24,2.300046,23.57857443752019
25,2.4000480000000004,23.78510503149695
26,2.5000500000000003,23.47017349386832
27,2.6000520000000003,23.387514899778026
28,2.700054,23.411591025077225
29,2.800056,22.99421274369048
30,2.900058,23.555550307584785
31,3.00006,22.800844635641965
32,3.100062,23.292656017303422
33,3.200064,23.469797404675987
34,3.300066,23.05619053802941
35,3.400068,22.819896764514912
36,3.50007,23.19768113238044
37,3.600072,23.0819915508354
38,3.700074,22.959443503174025
39,3.8000760000000002,22.821688049734693
40,3.900078,22.848614981492993
41,4.00008,23.331686387796505
42,4.1000820000000004,23.344901618664696
43,4.2000839999999995,23.248679624421168
44,4.300086,23.119006505596428
45,4.400087999999999,22.94202968482916
46,4.50009,22.594588072855654
47,4.600092,23.001062168069783
48,4.700094,22.76112777089774
49,4.800096000000001,23.21024591007458
50,4.900098,22.898554721834905
51,5.000100000000001,22.67061071199149
52,5.100102,22.858055662740153
53,5.2001040000000005,22.83302121938066
54,5.3001059999999995,23.03458535466181
55,5.400108,23.159331698916407
56,5.500109999999999,23.37812499812489
57,5.600112,23.52720036774121
58,5.700114,23.202130865136677
59,5.800116,22.89986539163763
60,5.900118,23.743890069299617
61,6.00012,23.294873517399612
62,6.100122000000001,23.88230100242644
63,6.200124,23.87093281504265
64,6.300126000000001,23.527887585383937
65,6.400128,23.947960858412834
66,6.50013,24.369954821740695
67,6.600132,24.732968534623307
68,6.700134,24.688934107553163
69,6.800136,24.398954477896144
70,6.900138,24.128830426200157
71,7.00014,24.916133853801682
72,7.100142,25.162088215188994
73,7.200144,25.10124130192833
74,7.300146,24.647936573409158
75,7.400148,24.478540359756913
76,7.5001500000000005,24.337914270501127
77,7.6001520000000005,24.9294573065539
78,7.700154,25.05299891269498
79,7.800156,24.78011056779148
80,7.900158,24.838263244353023
81,8.00016,24.82308205426162
82,8.100162000000001,24.882203667795654
83,8.200164000000001,24.27161499590735
84,8.300166,23.92299198778871
85,8.400167999999999,24.26053026738581
86,8.50017,23.929041589827488
87,8.600172,23.735430094906754
88,8.700174,23.739148055125888
89,8.800175999999999,23.667035799172695
90,8.900178,24.102501855540886
91,9.00018,23.932255551196008
92,9.100182,23.85216242092023
93,9.200184,24.44828062061312
94,9.300186,24.524167284478295
95,9.400188,24.6827162811791
96,9.50019,24.351182591466458
97,9.600192000000002,24.513462505722174
98,9.700194,24.505708485404917
99,9.800196,24.372494018567952
100,9.900198,24.493502964212876
101,10.000200000000001,25.040941553251198
102,10.100202,24.39447169636238
103,10.200204,25.21009406899405
104,10.300206,25.225069673599062
105,10.400208000000001,25.108434976165867
106,10.500210000000001,25.1874490357326
107,10.600211999999999,24.982535879471133
108,10.700214,25.032051861880163
109,10.800216,24.590746428253443
110,10.900218,24.37564453016995
111,11.000219999999999,24.34891180744904
112,11.100222,24.724915418025315
113,11.200224,24.56565260700027
