Frame,Time (ns),RMSD
1,0.0,2.1526270583838944e-06
2,0.100002,2.475894675683191
3,0.200004,2.2976429989743457
4,0.30000600000000005,2.7454791776587437
5,0.400008,2.981494068093867
6,0.50001,3.8372545491375254
7,0.6000120000000001,3.904213780914614
8,0.700014,3.927531075344649
9,0.800016,3.8126644702401498
10,0.900018,4.281572112108419
11,1.00002,3.552061090853247
12,1.1000219999999998,3.7617584056182425
13,1.2000240000000002,3.500091119212294
14,1.3000260000000001,3.3998428928663516
15,1.400028,4.6214735374642055
16,1.50003,3.7988780772491575
17,1.600032,4.189670311992115
18,1.700034,3.7605501928593683
19,1.800036,3.8164555864675322
20,1.9000380000000001,4.75972832540079
21,2.00004,4.508545456636575
22,2.1000419999999997,4.028372706085088
23,2.2000439999999997,3.226675837245211
24,2.300046,4.494898036615748
25,2.4000480000000004,4.175177084063479
26,2.5000500000000003,4.1971688741811715
27,2.6000520000000003,4.741909890408912
28,2.700054,3.9638509334693834
29,2.800056,3.7503285396069406
30,2.900058,4.16349839920798
31,3.00006,3.937567485784614
32,3.100062,3.5678136655147776
33,3.200064,3.713503845886393
34,3.300066,3.222921851553488
35,3.400068,3.7455885342075117
36,3.50007,3.3921592842794386
37,3.600072,3.162705162901255
38,3.700074,4.1878660514235735
39,3.8000760000000002,3.9561004398794255
40,3.900078,3.4417217945303795
41,4.00008,4.098962408664117
42,4.1000820000000004,4.1998762297353
43,4.2000839999999995,4.360203539262516
44,4.300086,3.78014651520716
45,4.400087999999999,3.995286403502222
46,4.50009,4.261978504535065
47,4.600092,4.064020495043113
48,4.700094,4.185816433691831
49,4.800096000000001,4.15543962183675
50,4.900098,3.907897923705443
51,5.000100000000001,4.564415811479729
52,5.100102,3.840112121282574
53,5.2001040000000005,4.210644620011928
54,5.3001059999999995,3.816151605770216
55,5.400108,3.688389038658861
56,5.500109999999999,3.7234934830425774
57,5.600112,3.897062755989685
58,5.700114,4.011261135945876
59,5.800116,4.096316844345329
60,5.900118,4.359062731487952
61,6.00012,4.410632023620369
62,6.100122000000001,5.209189977292003
63,6.200124,4.37146552099961
64,6.300126000000001,5.163187290728648
65,6.400128,4.713146276422736
