"frame","MMGBSA dG Bind","MMGBSA dG Bind Coulomb","MMGBSA dG Bind Covalent","MMGBSA dG Bind Hbond","MMGBSA dG Bind Lipo","MMGBSA dG Bind Packing","MMGBSA dG Bind SelfCont","MMGBSA dG Bind Solv GB","MMGBSA dG Bind vdW"
3868,-62.96,24.14,9.51,-1.34,-19.15,-1.87,0.00,-6.77,-67.49
3869,-60.15,36.19,7.21,-3.85,-17.42,-0.58,0.00,-8.23,-73.47
3870,-62.25,37.18,8.87,-4.80,-17.23,-2.17,0.00,-18.37,-65.73
3871,-45.97,21.17,2.23,-3.29,-15.09,1.46,0.00,6.09,-58.54
3872,-70.31,31.69,8.99,-2.27,-18.94,-1.83,0.00,-25.10,-62.85
3873,-61.81,25.70,8.56,-4.16,-16.86,-0.34,0.00,-7.48,-67.22
3874,-63.11,25.86,5.32,-0.61,-19.41,-0.18,0.00,-15.55,-58.54
3875,-68.82,19.59,5.07,-1.61,-20.03,-1.57,0.00,-4.59,-65.68
3876,-57.81,31.90,5.98,-1.86,-19.04,0.07,0.00,-12.99,-61.88
3877,-64.06,26.06,11.79,-3.02,-17.74,-3.18,0.00,-17.51,-60.46
3878,-66.54,32.19,6.43,-1.15,-19.37,0.43,0.00,-23.91,-61.17
3879,-66.97,37.60,5.39,-3.64,-17.57,0.69,0.00,-22.49,-66.96
3880,-56.63,46.50,12.19,-3.07,-17.10,-2.33,0.00,-32.09,-60.73
3881,-60.70,46.81,10.12,-3.01,-17.25,-2.73,0.00,-32.77,-61.87
3882,-49.47,41.27,10.15,-0.94,-18.69,-1.59,0.00,-24.15,-55.53
3883,-54.94,48.99,2.42,-0.81,-18.22,-0.97,0.00,-32.22,-54.12
3884,-55.12,33.71,8.71,-0.94,-20.32,0.34,0.00,-10.97,-65.66
3885,-58.98,22.93,5.71,-1.65,-17.43,-1.01,0.00,-8.95,-58.59
3886,-50.37,53.20,8.38,-0.13,-19.90,-1.72,0.00,-25.27,-64.92
3887,-53.84,42.61,9.47,-1.91,-17.74,-2.92,0.00,-22.86,-60.47
3888,-58.99,56.98,12.55,-3.09,-17.51,-3.97,0.00,-39.81,-64.15
3889,-55.25,38.18,4.29,-0.63,-18.78,-0.19,0.00,-16.87,-61.25
3890,-53.54,39.29,3.07,-1.48,-17.60,-0.31,0.00,-27.22,-49.30
3891,-64.42,48.37,7.60,-3.27,-16.12,-2.46,0.00,-36.04,-62.51
3892,-65.30,15.46,4.97,-2.43,-17.95,-0.58,0.00,-3.00,-61.78
3893,-59.38,36.13,7.45,-1.75,-17.62,-1.74,0.00,-22.35,-59.51
3894,-64.64,25.98,5.61,-1.46,-20.77,1.33,0.00,-2.09,-73.24
3895,-66.73,22.80,3.89,-1.43,-20.50,1.33,0.00,0.47,-73.30
3896,-72.32,45.51,5.04,-3.86,-18.66,-2.11,0.00,-26.43,-71.81
3897,-70.91,29.22,9.83,-4.61,-17.63,0.71,0.00,-19.90,-68.52
3898,-68.37,33.92,0.01,-2.86,-16.93,-0.30,0.00,-14.81,-67.40
3899,-71.47,61.54,7.74,-3.46,-18.98,-2.95,0.00,-42.64,-72.73
3900,-69.24,48.63,6.79,-3.19,-18.13,-0.88,0.00,-29.30,-73.16
3901,-69.90,54.22,2.54,-3.37,-18.27,-1.51,0.00,-31.52,-71.98
3902,-48.68,71.81,-3.24,-2.16,-15.31,-1.10,0.00,-39.38,-59.31
3903,-65.49,46.18,11.97,-3.81,-17.27,-2.27,0.00,-32.29,-68.00
3904,-62.25,58.96,4.27,-2.63,-18.96,-0.53,0.00,-31.02,-72.34
3905,-48.62,85.59,5.45,-2.21,-17.35,-0.74,0.00,-46.95,-72.39
3906,-51.00,62.42,-0.82,-0.08,-18.15,1.22,0.00,-29.11,-66.50
