"MMGBSA dG Bind","MMGBSA dG Bind Coulomb","MMGBSA dG Bind Covalent","MMGBSA dG Bind Hbond","MMGBSA dG Bind Lipo","MMGBSA dG Bind Packing","MMGBSA dG Bind SelfCont","MMGBSA dG Bind Solv GB","MMGBSA dG Bind vdW","frame"
-47.46,41.57,0.19,-4.12,-8.22,-2.59,-0.00,-28.62,-45.66,3864
-37.17,73.91,-2.34,-1.92,-8.89,-2.90,-0.00,-42.04,-52.99,3865
-42.16,55.17,2.26,-3.47,-8.60,-3.06,-0.00,-38.49,-45.97,3866
-38.16,45.56,2.53,-2.64,-8.61,-2.70,-0.00,-25.01,-47.29,3867
-49.21,29.01,7.66,-4.43,-9.52,-2.27,-0.00,-26.34,-43.33,3868
-38.56,48.17,-0.99,-1.80,-6.08,-2.83,-0.00,-30.93,-44.11,3869
-40.67,54.45,1.99,-1.54,-6.12,-2.83,-0.00,-41.75,-44.86,3870
-33.19,47.76,5.84,-1.94,-4.89,-2.83,-0.00,-33.48,-43.65,3871
-37.39,64.31,2.66,-1.08,-6.31,-3.04,-0.00,-54.27,-39.67,3872
-34.14,78.08,-0.04,-0.79,-8.89,-2.73,-0.00,-58.17,-41.61,3873
-39.23,60.73,3.12,-2.17,-11.15,-2.33,-0.00,-40.70,-46.74,3874
-48.13,37.57,7.67,-4.09,-10.16,-2.25,-0.00,-33.12,-43.76,3875
-43.96,44.59,13.58,-3.45,-12.78,-2.05,-0.00,-31.77,-52.08,3876
-39.94,52.17,-1.68,-1.31,-6.64,-2.97,-0.00,-36.95,-42.56,3877
-39.90,48.35,-0.38,-1.06,-8.49,-2.98,-0.00,-32.67,-42.68,3878
-46.97,46.36,2.44,-3.95,-11.68,-2.59,-0.00,-27.81,-49.75,3879
-39.08,53.27,6.33,-3.55,-8.38,-0.81,-0.00,-36.26,-49.68,3880
-38.75,49.12,1.66,-1.18,-8.18,-2.99,-0.00,-34.12,-43.06,3881
-36.69,45.89,4.72,-3.05,-7.90,-1.75,-0.00,-28.73,-45.88,3882
-45.54,41.71,5.62,-3.55,-9.67,-3.13,-0.00,-31.70,-44.82,3883
-50.63,28.42,8.79,-4.55,-7.69,-1.59,-0.00,-29.57,-44.45,3884
-52.64,34.12,6.97,-4.56,-13.16,-2.72,-0.00,-21.07,-52.21,3885
-38.65,58.74,-2.58,-1.86,-6.59,-2.77,-0.00,-48.01,-35.58,3886
-38.56,55.22,5.82,-0.83,-10.87,-2.78,-0.00,-43.69,-41.43,3887
-21.18,85.42,-0.87,-0.02,-8.56,-2.90,-0.00,-53.22,-41.03,3888
-29.18,68.48,-0.60,-0.73,-9.15,-2.91,-0.00,-44.69,-39.58,3889
-30.28,66.61,5.32,-1.11,-6.22,-2.83,-0.00,-51.10,-40.95,3890
-33.55,64.35,2.19,-1.24,-6.03,-2.87,-0.00,-51.88,-38.08,3891
-29.78,75.90,-2.56,-0.77,-6.19,-2.87,-0.00,-55.79,-37.49,3892
-30.64,77.10,0.42,-0.65,-6.69,-2.95,-0.00,-55.69,-42.19,3893
-36.36,43.97,8.31,-1.60,-6.25,-2.84,-0.00,-39.11,-38.83,3894
-48.41,51.14,2.57,-1.77,-12.04,-2.73,-0.00,-30.91,-54.67,3895
-26.46,67.86,2.30,0.62,-4.55,-2.73,-0.00,-53.60,-36.35,3896
-45.70,54.95,6.29,-3.99,-12.09,-2.77,-0.00,-32.70,-55.39,3897
-25.52,61.18,15.17,-1.90,-7.71,-2.87,-0.00,-45.48,-43.91,3898
553.70,78.94,88.83,-0.55,-8.51,-3.24,-0.00,-61.51,459.75,3899
-32.31,62.33,12.06,-2.57,-12.38,-1.38,-0.00,-38.24,-52.13,3900
-44.87,44.32,11.17,-3.34,-11.56,-2.95,-0.00,-26.67,-55.84,3901
885.98,20.35,409.29,-1.10,-5.72,-2.01,-0.00,-24.36,489.53,3902
123.55,56.16,155.39,-0.98,-7.09,-3.51,-0.00,-35.32,-41.11,3903
578.00,25.72,110.76,-3.60,-11.76,-2.72,-0.00,-20.07,479.67,3904
-30.17,61.47,5.10,-1.08,-5.22,-2.71,-0.00,-48.37,-39.38,3905
-33.41,65.40,1.38,-2.19,-9.54,-2.71,-0.00,-43.44,-42.31,3906
-37.18,51.32,6.99,-1.53,-6.11,-2.83,-0.00,-49.15,-35.88,3907
-38.74,57.32,-4.06,-1.66,-6.87,-2.60,-0.00,-43.91,-36.96,3908
-25.62,77.43,-0.48,-0.12,-8.24,-2.97,-0.00,-51.14,-40.10,3909
-34.74,32.09,18.58,-2.50,-8.26,-2.77,-0.00,-28.21,-43.66,3910
-41.28,50.52,8.13,-3.49,-11.35,-2.94,-0.00,-35.47,-46.67,3911
-19.66,94.47,-7.85,0.26,-5.78,-2.47,-0.00,-60.45,-37.84,3912
-32.95,50.42,4.61,-0.84,-7.17,-2.59,-0.00,-40.91,-36.48,3913
-55.71,36.19,6.41,-3.35,-10.98,-2.55,-0.00,-30.21,-51.22,3914
-25.78,75.58,-3.14,0.22,-7.04,-1.82,-0.00,-51.13,-38.44,3915
-28.64,63.66,5.22,-0.14,-9.44,-2.94,-0.00,-45.99,-39.00,3916
-30.60,60.22,11.94,-1.23,-8.18,-2.89,-0.00,-48.39,-42.08,3917
-31.71,51.57,1.79,-0.85,-5.96,-2.44,-0.00,-39.25,-36.57,3918
-20.61,69.35,1.61,-0.91,-5.11,-2.40,-0.00,-49.75,-33.40,3919
-29.36,70.41,-6.12,-0.46,-4.57,-2.63,-0.00,-52.82,-33.18,3920
-41.72,53.88,-7.69,-1.81,-5.68,-2.63,-0.00,-41.40,-36.40,3921
-33.70,51.91,5.77,-1.23,-5.67,-2.82,-0.00,-49.18,-32.49,3922
-26.35,48.72,4.64,-0.31,-3.82,-2.83,-0.00,-41.13,-31.62,3923
-30.17,68.90,6.20,-0.24,-9.63,-2.99,-0.00,-52.14,-40.28,3924
-39.48,57.34,0.61,-2.07,-9.33,-2.49,-0.00,-43.66,-39.87,3925
-27.53,63.63,-2.12,-0.68,-8.84,-2.45,-0.00,-42.88,-34.18,3926
-23.09,72.73,-1.04,-0.94,-9.04,-2.39,-0.00,-44.01,-38.39,3927
-27.85,65.07,3.86,-0.37,-12.11,-2.43,-0.00,-40.82,-41.04,3928
-32.50,67.59,2.79,-0.37,-13.05,-2.98,-0.00,-45.09,-41.40,3929
-42.41,49.30,6.26,-0.97,-9.04,-2.60,-0.00,-44.43,-40.93,3930
-46.04,55.77,3.49,-1.58,-12.72,-2.45,-0.00,-39.94,-48.60,3931
-48.15,56.60,1.54,-0.64,-12.99,-2.53,-0.00,-45.81,-44.32,3932
-39.76,46.50,12.04,-0.99,-8.71,-2.66,-0.00,-43.46,-42.48,3933
-43.81,42.51,1.46,-1.78,-5.62,-2.55,-0.00,-42.24,-35.59,3934
-55.40,49.76,-5.60,-2.18,-9.49,-2.55,-0.00,-46.88,-38.47,3935
