"Prime MMGBSA Input Structure Hash","MMGBSA dG Bind","MMGBSA dG Bind Coulomb","MMGBSA dG Bind Covalent","MMGBSA dG Bind Hbond","MMGBSA dG Bind Lipo","MMGBSA dG Bind Packing","MMGBSA dG Bind SelfCont","MMGBSA dG Bind Solv GB","MMGBSA dG Bind vdW"
"",,,,,,,,,
"",,,,,,,,,
"",,,,,,,,,
"",,,,,,,,,
"",,,,,,,,,
"",,,,,,,,,
"",,,,,,,,,
"",,,,,,,,,
"",,,,,,,,,
"",,,,,,,,,
"",,,,,,,,,
"",,,,,,,,,
"",,,,,,,,,
"",,,,,,,,,
"",,,,,,,,,
"",,,,,,,,,
"",,,,,,,,,
"",,,,,,,,,
"",,,,,,,,,
"",,,,,,,,,
"",,,,,,,,,
"",,,,,,,,,
"",,,,,,,,,
"",,,,,,,,,
"",,,,,,,,,
"",,,,,,,,,
"",,,,,,,,,
"",,,,,,,,,
"2a341d1248c7dc00fa2fe8c4c8ccce033506a0032940a8d05beccb2a",-37.24,4.45,31.57,-5.63,-19.88,-0.03,-0.00,15.35,-63.08
"b33dcb6be3115ff78f2df6672b5017304004048c97e7d2f77ea47a30",-30.88,71.59,15.30,-1.18,-17.90,-0.00,-0.00,-37.03,-61.66
"14144957cda69311859b65dfa003d1b824509f0f6e55a258ee25b945",-30.11,85.24,21.43,-3.30,-23.25,-0.03,-0.00,-40.31,-69.87
"235fcf3b77175835cd74e39a83cf972714b061a22a88046e52299892",-28.84,77.93,-1.38,-0.28,-17.31,-0.63,-0.00,-21.14,-66.03
"03f62cc2ce1610db5d763c57497b9541fd4620b6c174fe7093331d11",-1.24,74.36,16.29,-1.44,-22.05,-1.87,-0.00,-11.24,-55.28
"cd8e42c0058f15db59598a666a9862db4fa7ba4b6e1b764e63cd58de",9.95,41.22,22.61,-1.78,-21.26,-0.80,-0.00,15.26,-45.30
"6350360e9ab0a360aa579c88c226d54f9cba1ef6effb6a341afb4124",85.64,38.40,113.03,-2.85,-17.84,-0.84,-0.00,8.63,-52.90
"07b999dd896f6347b924adbd7372bd6334556c09f773271c6f801158",524.42,45.13,202.24,-3.35,-21.29,-0.00,-0.00,-15.92,317.60
"06574bc3cf54efb71b451dd352f84e4e83953dcb43e79bc53f6ea061",2806.87,77.91,992.87,-1.10,-30.36,-0.00,-0.00,-20.59,1788.14
"",,,,,,,,,
"2a341d1248c7dc00fa2fe8c4c8ccce033506a0032940a8d05beccb2a",-37.24,4.45,31.57,-5.63,-19.88,-0.03,-0.00,15.35,-63.08
