Frame,Time (ns),RMSD
1,0.0,9.571310096306072e-06
2,0.100002,2.356387277640651
3,0.200004,2.938393446826623
4,0.30000600000000005,3.208590994670661
5,0.400008,3.709844641626917
6,0.50001,3.94591594341531
7,0.6000120000000001,4.040440313713294
8,0.700014,4.190396117457557
9,0.800016,4.267511801598396
10,0.900018,4.135981887939866
11,1.00002,4.051236077573653
12,1.1000219999999998,4.782237153970577
13,1.2000240000000002,4.670708373551456
14,1.3000260000000001,4.526077916876881
15,1.400028,4.956549629288498
16,1.50003,4.496610517027779
17,1.600032,4.72106586983458
18,1.700034,4.5296930677764164
19,1.800036,4.576003183674426
20,1.9000380000000001,5.3510557277339394
21,2.00004,5.279884020419369
22,2.1000419999999997,5.376867733121167
23,2.2000439999999997,5.592503656051017
24,2.300046,5.382804068962574
25,2.4000480000000004,5.3343610913647215
26,2.5000500000000003,5.482618087010232
27,2.6000520000000003,5.441857027834653
28,2.700054,5.216527814166704
29,2.800056,5.535796391769286
30,2.900058,5.299208595554198
31,3.00006,5.6910395608112205
32,3.100062,5.623640833111884
33,3.200064,5.723705449078332
34,3.300066,5.193122025656062
35,3.400068,5.114421841564152
36,3.50007,4.967356216532718
37,3.600072,5.243935050008863
38,3.700074,5.254231407769678
39,3.8000760000000002,5.278513619416758
40,3.900078,4.97967679758573
41,4.00008,4.928409077910738
42,4.1000820000000004,5.304200142407466
43,4.2000839999999995,5.250253321370906
44,4.300086,5.155131749898005
45,4.400087999999999,5.446037363604672
46,4.50009,5.56179781904801
47,4.600092,5.428369173666386
48,4.700094,5.429169706574405
49,4.800096000000001,5.145144700962113
50,4.900098,5.31199594150456
51,5.000100000000001,5.107124184119075
52,5.100102,5.269223844793116
53,5.2001040000000005,5.291471866559827
54,5.3001059999999995,5.487414438846897
55,5.400108,5.513443772324259
56,5.500109999999999,5.638387004758292
57,5.600112,5.517394668079545
58,5.700114,5.880460402103961
59,5.800116,5.71965818206685
60,5.900118,5.595695136180873
61,6.00012,5.905016661955929
62,6.100122000000001,5.500227896990779
63,6.200124,5.503981954409514
64,6.300126000000001,5.723450411065229
65,6.400128,5.510368807887569
66,6.50013,5.396731055230795
67,6.600132,5.661515543449561
