"Title","MMGBSA dG Bind","MMGBSA dG Bind Coulomb","MMGBSA dG Bind Covalent","MMGBSA dG Bind Hbond","MMGBSA dG Bind Lipo","MMGBSA dG Bind Packing","MMGBSA dG Bind SelfCont","MMGBSA dG Bind Solv GB","MMGBSA dG Bind vdW","frame"
"8WO1",,,,,,,,,,
"8WO1 - preprocessed",,,,,,,,,,
"8WO1 - hbond-opt",,,,,,,,,,
"8WO1_TLR4_prep_maestro",,,,,,,,,,
"4270d91c09c13fb6",,,,,,,,,,
"4270d91c09c13fb6 - preprocessed",,,,,,,,,,
"4270d91c09c13fb6 - hbond-opt",,,,,,,,,,
"fold_peptide1_hpv16_e6_bcell_epitope_model_2_prep_maestro",,,,,,,,,,
"complexo_pose26_docking_8WO1_TLR4_with_fold_peptide1_hpv16_e6_bcell_epitope_model_2",-42.04,-117.20,12.84,-1.43,-12.10,-1.88,0.00,133.73,-55.99,
"complexo_pose26_docking_8WO1_TLR4_with_fold_peptide1_hpv16_e6_bcell_epitope_model_2 - preprocessed",-42.04,-117.20,12.84,-1.43,-12.10,-1.88,0.00,133.73,-55.99,
"complexo_pose26_docking_8WO1_TLR4_with_fold_peptide1_hpv16_e6_bcell_epitope_model_2 - hbond-opt",-42.04,-117.20,12.84,-1.43,-12.10,-1.88,0.00,133.73,-55.99,
"complexo_pose26_docking_8WO1_TLR4_with_fold_peptide1_hpv16_e6_bcell_epitope_model_2 - hbond-opt",-42.04,-117.20,12.84,-1.43,-12.10,-1.88,0.00,133.73,-55.99,
"complexo_A_B_epitope1_8WO1_TLR4",,,,,,,,,,
"complexo_A_B_epitope1_8WO1_TLR4 - preprocessed",,,,,,,,,,
"complexo_A_B_epitope1_8WO1_TLR4 - hbond-opt",,,,,,,,,,
"complexo_A_B_epitope1_8WO1_TLR4 - preprocessed",,,,,,,,,,
"complexo_A_B_epitope1_8WO1_TLR4 - hbond-opt",,,,,,,,,,
"complexo_A_B_epitope1_8WO1_TLR4 - minimized",,,,,,,,,,
"complexo_A_B_epitope1_8WO1_TLR4 - minimized",,,,,,,,,,
"complexo_A_B_epitope1_8WO1_TLR4 - minimized",,,,,,,,,,3801
"complexo_A_B_epitope1_8WO1_TLR4 - minimized - Frame 3906",-27.11,-240.30,12.45,-5.95,-1.86,0.19,0.00,234.21,-25.84,3906
"complexo_A_B_epitope1_8WO1_TLR4 - minimized - Frame 3907",-18.78,-226.45,-14.69,-6.45,3.28,0.88,0.00,213.37,11.27,3907
"complexo_A_B_epitope1_8WO1_TLR4 - minimized - Frame 3908",-35.58,-283.47,16.25,-8.93,-1.81,-0.85,0.00,257.21,-13.99,3908
"complexo_A_B_epitope1_8WO1_TLR4 - minimized - Frame 3909",-28.12,-232.33,4.32,-8.00,-2.43,-0.74,0.00,235.91,-24.85,3909
"complexo_A_B_epitope1_8WO1_TLR4 - minimized - Frame 3910",-12.07,-232.42,1.04,-5.02,0.06,0.38,0.00,235.10,-11.22,3910
"complexo_A_B_epitope1_8WO1_TLR4 - minimized - Frame 3911",-27.90,-250.34,18.69,-6.49,-3.61,-3.00,0.00,265.55,-48.70,3911
"complexo_A_B_epitope1_8WO1_TLR4 - minimized - Frame 3912",-39.95,-272.24,10.27,-7.80,-2.56,-1.77,0.00,272.12,-37.97,3912
"complexo_A_B_epitope1_8WO1_TLR4 - minimized - Frame 3913",-9.96,-260.35,-3.84,-3.99,3.74,0.52,0.00,262.94,-8.97,3913
"complexo_A_B_epitope1_8WO1_TLR4 - minimized - Frame 3914",-28.23,-284.54,1.89,-7.50,0.04,-0.73,0.00,279.40,-16.77,3914
"complexo_A_B_epitope1_8WO1_TLR4 - minimized - Frame 3915",-9.93,-225.51,-6.80,-4.58,1.25,-1.54,0.00,237.53,-10.28,3915
"complexo_A_B_epitope1_8WO1_TLR4 - minimized - Frame 3916",-41.99,-307.13,20.89,-8.86,-4.86,-3.32,0.00,286.96,-25.68,3916
"complexo_A_B_epitope1_8WO1_TLR4 - minimized - Frame 3917",-14.69,-223.35,1.61,-6.14,0.64,0.27,0.00,231.42,-19.14,3917
"complexo_A_B_epitope1_8WO1_TLR4 - minimized - Frame 3918",-9.36,-253.50,5.57,-6.78,3.20,1.62,0.00,258.17,-17.65,3918
"complexo_A_B_epitope1_8WO1_TLR4 - minimized - Frame 3919",-33.65,-252.08,15.02,-10.09,-2.56,-0.26,0.00,238.44,-22.13,3919
"complexo_A_B_epitope1_8WO1_TLR4 - minimized - Frame 3920",-4.27,-221.22,-1.19,-5.36,3.58,2.22,0.00,244.69,-26.98,3920
"complexo_A_B_epitope1_8WO1_TLR4 - minimized - Frame 3921",-29.65,-263.34,7.15,-7.53,-3.97,-0.33,0.00,266.92,-28.55,3921
"complexo_A_B_epitope1_8WO1_TLR4 - minimized - Frame 3922",-46.82,-303.38,24.71,-9.00,-6.85,-1.21,0.00,288.87,-39.97,3922
"complexo_A_B_epitope1_8WO1_TLR4 - minimized - Frame 3923",-28.34,-310.91,19.48,-9.59,-1.91,0.47,0.00,319.84,-45.73,3923
"complexo_A_B_epitope1_8WO1_TLR4 - minimized - Frame 3924",-21.02,-280.30,7.25,-6.74,-2.15,-1.30,0.00,292.78,-30.54,3924
"complexo_A_B_epitope1_8WO1_TLR4 - minimized - Frame 3925",-31.29,-308.90,2.61,-7.84,-0.46,-0.52,0.00,299.87,-16.05,3925
"complexo_A_B_epitope1_8WO1_TLR4 - minimized - Frame 3926",-31.17,-288.57,1.33,-8.43,-1.58,-2.18,0.00,276.83,-8.57,3926
"complexo_A_B_epitope1_8WO1_TLR4 - minimized - Frame 3927",-33.27,-292.01,4.50,-7.33,-1.67,-1.35,0.00,284.96,-20.37,3927
"complexo_A_B_epitope1_8WO1_TLR4 - minimized - Frame 3928",-47.09,-302.36,14.69,-8.45,-4.21,-2.46,0.00,283.65,-27.94,3928
"complexo_A_B_epitope1_8WO1_TLR4 - minimized - Frame 3929",-13.90,-234.32,7.62,-6.49,-1.81,0.01,0.00,242.38,-21.29,3929
"complexo_A_B_epitope1_8WO1_TLR4 - minimized - Frame 3930",-17.55,-247.36,9.59,-6.77,-1.29,-0.36,0.00,249.18,-20.54,3930
"complexo_A_B_epitope1_8WO1_TLR4 - minimized - Frame 3931",-34.34,-229.54,11.03,-6.02,-7.76,-2.65,0.00,239.38,-38.77,3931
"complexo_A_B_epitope1_8WO1_TLR4 - minimized - Frame 3932",-22.91,-227.52,10.89,-7.06,-2.62,-0.60,0.00,234.38,-30.38,3932
"complexo_A_B_epitope1_8WO1_TLR4 - minimized - Frame 3933",-30.08,-304.34,12.12,-9.00,-0.72,-1.58,0.00,298.94,-25.49,3933
"complexo_A_B_epitope1_8WO1_TLR4 - minimized - Frame 3934",-28.51,-241.48,4.26,-5.27,-3.27,-0.79,0.00,254.81,-36.76,3934
"complexo_A_B_epitope1_8WO1_TLR4 - minimized - Frame 3935",-41.69,-270.20,8.15,-6.81,-2.25,-0.50,0.00,254.18,-24.25,3935
"complexo_A_B_epitope1_8WO1_TLR4 - minimized - Frame 3936",-22.75,-203.34,5.81,-6.83,-1.97,-0.75,0.00,207.33,-22.98,3936
"complexo_A_B_epitope1_8WO1_TLR4 - minimized - Frame 3937",-29.87,-195.94,-1.56,-7.04,-0.25,-2.62,0.00,197.58,-20.04,3937
"complexo_A_B_epitope1_8WO1_TLR4 - minimized - Frame 3938",-20.14,-134.81,-4.46,-2.66,-0.80,-0.64,0.00,136.30,-13.07,3938
"complexo_A_B_epitope1_8WO1_TLR4 - minimized - Frame 3939",-17.53,-145.33,5.33,-3.97,-2.39,-0.81,0.00,161.96,-32.32,3939
"complexo_A_B_epitope1_8WO1_TLR4 - minimized - Frame 3940",-35.78,-259.24,-10.01,-6.69,0.94,-0.92,0.00,253.73,-13.58,3940
"complexo_A_B_epitope1_8WO1_TLR4 - minimized - Frame 3941",-11.12,-247.91,7.74,-7.09,0.57,-0.29,0.00,247.66,-11.79,3941
"complexo_A_B_epitope1_8WO1_TLR4 - minimized - Frame 3942",-38.04,-265.69,-3.53,-6.19,-2.19,-0.96,0.00,262.11,-21.59,3942
"complexo_A_B_epitope1_8WO1_TLR4 - minimized - Frame 3943",-2.83,-280.16,27.32,-6.10,-0.17,-0.07,0.00,280.03,-23.68,3943
"complexo_A_B_epitope1_8WO1_TLR4 - minimized - Frame 3944",449.79,-203.49,100.34,-0.71,0.12,-0.50,0.00,220.91,333.12,3944
"complexo_A_B_epitope1_8WO1_TLR4 - minimized - Frame 3945",1214.92,-221.57,566.64,-6.34,-4.96,-1.59,0.00,234.77,647.97,3945
"complexo_A_B_epitope1_8WO1_TLR4 - minimized - Frame 3946",-23.66,-289.68,19.49,-7.49,-3.08,-1.25,0.00,295.63,-37.29,3946
"complexo_A_B_epitope1_8WO1_TLR4 - minimized - Frame 3947",-31.51,-239.56,14.61,-6.87,-5.68,-1.77,0.00,241.22,-33.46,3947
"complexo_A_B_epitope1_8WO1_TLR4 - minimized - Frame 3948",-18.18,-196.96,2.50,-5.09,-1.02,0.32,0.00,198.58,-16.51,3948
"complexo_A_B_epitope1_8WO1_TLR4 - minimized - Frame 3949",-11.97,-246.80,7.34,-4.27,-2.48,-1.03,0.00,252.60,-17.34,3949
"complexo_A_B_epitope1_8WO1_TLR4 - minimized - Frame 3950",-19.55,-250.61,6.01,-6.00,-1.60,-0.18,0.00,258.42,-25.60,3950
"complexo_A_B_epitope1_8WO1_TLR4 - minimized - Frame 3951",-25.04,-224.47,5.61,-5.42,-2.43,-1.03,0.00,218.52,-15.82,3951
"complexo_A_B_epitope1_8WO1_TLR4 - minimized - Frame 3952",-27.09,-231.11,7.46,-4.32,-2.09,-2.49,0.00,227.01,-21.56,3952
"complexo_A_B_epitope1_8WO1_TLR4 - minimized - Frame 3953",-32.19,-242.22,2.64,-6.74,-1.69,-0.14,0.00,230.45,-14.50,3953
"complexo_A_B_epitope1_8WO1_TLR4 - minimized - Frame 3954",-43.22,-234.27,8.57,-7.78,-4.52,-0.92,0.00,234.80,-39.10,3954
"complexo_A_B_epitope1_8WO1_TLR4 - minimized - Frame 3955",-17.03,-176.32,4.33,-4.56,-2.21,-1.79,0.00,193.59,-30.07,3955
"complexo_A_B_epitope1_8WO1_TLR4 - minimized - Frame 3956",2.58,-223.67,4.18,-4.25,0.95,-0.32,0.00,226.19,-0.50,3956
"complexo_A_B_epitope1_8WO1_TLR4 - minimized - Frame 3957",-32.43,-222.21,-1.36,-6.95,0.91,-1.82,0.00,220.51,-21.53,3957
"complexo_A_B_epitope1_8WO1_TLR4 - minimized - Frame 3958",-3.91,-142.52,-2.52,-0.91,0.10,-0.78,0.00,147.78,-5.05,3958
"complexo_A_B_epitope1_8WO1_TLR4 - minimized - Frame 3959",-14.54,-163.37,-0.42,-5.98,-2.02,-0.18,0.00,187.86,-30.44,3959
"complexo_A_B_epitope1_8WO1_TLR4 - minimized - Frame 3960",-34.82,-233.28,24.81,-8.33,-1.54,-1.37,0.00,216.92,-32.04,3960
"complexo_A_B_epitope1_8WO1_TLR4 - minimized - Frame 3961",-24.04,-219.10,12.72,-5.62,1.50,-2.88,0.00,212.58,-23.25,3961
"complexo_A_B_epitope1_8WO1_TLR4 - minimized - Frame 3962",-28.31,-190.16,9.47,-7.50,-2.50,0.18,0.00,193.38,-31.17,3962
"complexo_A_B_epitope1_8WO1_TLR4 - minimized - Frame 3963",-19.68,-153.18,4.39,-3.05,-2.01,-3.28,0.00,161.75,-24.29,3963
"complexo_A_B_epitope1_8WO1_TLR4 - minimized - Frame 3964",-15.87,-163.67,10.08,-1.69,-3.08,-1.96,0.00,170.77,-26.32,3964
"complexo_A_B_epitope1_8WO1_TLR4 - minimized - Frame 3965",-27.41,-166.29,11.57,-6.01,-1.81,0.57,0.00,166.60,-32.04,3965
"complexo_A_B_epitope1_8WO1_TLR4 - minimized - Frame 3966",-12.18,-145.14,10.31,-2.48,-3.20,-3.73,0.00,164.75,-32.70,3966
"complexo_A_B_epitope1_8WO1_TLR4 - minimized - Frame 3967",-19.29,-168.79,19.78,-3.30,-4.82,-2.10,0.00,170.29,-30.37,3967
"complexo_A_B_epitope1_8WO1_TLR4 - minimized - Frame 3968",-26.89,-183.91,4.56,-5.26,1.29,-0.59,0.00,171.37,-14.35,3968
"complexo_A_B_epitope1_8WO1_TLR4 - minimized - Frame 3969",-11.37,-171.14,9.52,-5.44,1.18,-1.31,0.00,162.07,-6.25,3969
"complexo_A_B_epitope1_8WO1_TLR4 - minimized - Frame 3970",-24.59,-171.19,5.98,-5.64,-1.68,-1.50,0.00,169.32,-19.88,3970
"complexo_A_B_epitope1_8WO1_TLR4 - minimized - Frame 3971",-22.15,-170.96,-1.58,-4.61,-0.71,-0.05,0.00,169.00,-13.25,3971
"complexo_A_B_epitope1_8WO1_TLR4 - minimized - Frame 3972",-34.06,-144.89,-2.47,-6.05,-1.80,-0.36,0.00,140.65,-19.13,3972
"complexo_A_B_epitope1_8WO1_TLR4 - minimized - Frame 3973",-15.76,-178.74,-1.71,-4.03,2.42,0.55,0.00,173.67,-7.91,3973
"complexo_A_B_epitope1_8WO1_TLR4 - minimized - Frame 3974",-53.28,-164.17,12.58,-4.53,-7.76,-0.06,0.00,153.76,-43.10,3974
"complexo_A_B_epitope1_8WO1_TLR4 - minimized - Frame 3975",-5.67,-160.64,8.12,-3.72,-2.87,0.97,0.00,168.87,-16.40,3975
"complexo_A_B_epitope1_8WO1_TLR4 - minimized - Frame 3976",-22.09,-187.52,9.31,-6.31,-1.51,-0.46,0.00,177.80,-13.38,3976
"complexo_A_B_epitope1_8WO1_TLR4 - minimized - Frame 3977",-30.43,-219.94,15.76,-7.04,-1.75,-2.01,0.00,204.43,-19.88,3977
"complexo_A_B_epitope1_8WO1_TLR4 - minimized - Frame 3978",-25.62,-157.79,3.93,-3.48,-1.40,-1.61,0.00,156.64,-21.91,3978
"complexo_A_B_epitope1_8WO1_TLR4 - minimized - Frame 3979",-15.93,-153.68,-15.20,-3.97,3.30,0.69,0.00,157.54,-4.60,3979
"complexo_A_B_epitope1_8WO1_TLR4 - minimized - Frame 3980",-26.16,-189.20,3.54,-4.00,-2.54,-0.48,0.00,182.46,-15.94,3980
"complexo_A_B_epitope1_8WO1_TLR4 - minimized - Frame 3981",-25.63,-147.88,-1.43,-3.81,-1.71,0.69,0.00,147.99,-19.49,3981
"complexo_A_B_epitope1_8WO1_TLR4 - minimized - Frame 3982",-18.77,-93.47,1.08,-4.27,-5.07,-2.73,0.00,125.45,-39.76,3982
"complexo_A_B_epitope1_8WO1_TLR4 - minimized - Frame 3983",-34.27,-157.09,10.58,-6.69,-4.16,-0.70,0.00,159.14,-35.35,3983
"complexo_A_B_epitope1_8WO1_TLR4 - minimized - Frame 3984",-16.99,-141.36,4.50,-3.64,-1.27,-0.51,0.00,140.91,-15.62,3984
"complexo_A_B_epitope1_8WO1_TLR4 - minimized - Frame 3985",-22.24,-115.73,12.84,-4.41,-2.46,-0.57,0.00,129.09,-41.01,3985
"complexo_A_B_epitope1_8WO1_TLR4 - minimized - Frame 3986",-22.60,-103.67,6.16,-3.02,-2.89,-0.69,0.00,113.65,-32.13,3986
"complexo_A_B_epitope1_8WO1_TLR4 - minimized - Frame 3987",-17.83,-137.74,1.41,-4.21,-0.61,-0.09,0.00,136.44,-13.03,3987
"complexo_A_B_epitope1_8WO1_TLR4 - minimized - Frame 3988",-13.08,-132.16,3.41,-3.71,-0.11,-1.35,0.00,132.19,-11.36,3988
"complexo_A_B_epitope1_8WO1_TLR4 - minimized - Frame 3989",-9.33,-151.19,0.45,-2.09,0.66,-0.16,0.00,148.46,-5.46,3989
"complexo_A_B_epitope1_8WO1_TLR4 - minimized - Frame 3990",-17.55,-149.36,3.56,-4.16,-0.46,-0.89,0.00,144.35,-10.58,3990
"complexo_A_B_epitope1_8WO1_TLR4 - minimized - Frame 3991",-36.96,-167.00,10.20,-6.82,-5.79,-0.71,0.00,173.22,-40.07,3991
"complexo_A_B_epitope1_8WO1_TLR4 - minimized - Frame 3992",-24.73,-113.62,7.87,-4.00,-3.44,-0.59,0.00,124.96,-35.90,3992
"complexo_A_B_epitope1_8WO1_TLR4 - minimized - Frame 3993",-24.17,-96.41,3.68,-1.55,-2.35,-0.42,0.00,110.56,-37.67,3993
"complexo_A_B_epitope1_8WO1_TLR4 - minimized - Frame 3994",-27.77,-132.58,15.31,-6.12,-2.43,0.23,0.00,136.77,-38.95,3994
"complexo_A_B_epitope1_8WO1_TLR4 - minimized - Frame 3995",-38.40,-179.84,-6.94,-4.41,-2.59,0.28,0.00,179.23,-24.12,3995
"complexo_A_B_epitope1_8WO1_TLR4 - minimized - Frame 3996",-24.33,-175.26,11.93,-5.74,-1.74,-1.30,0.00,163.78,-15.99,3996
"complexo_A_B_epitope1_8WO1_TLR4 - minimized - Frame 3997",-22.35,-175.91,-1.53,-4.57,-0.71,-0.35,0.00,174.68,-13.97,3997
"complexo_A_B_epitope1_8WO1_TLR4 - minimized - Frame 3998",-27.42,-123.85,6.33,-5.55,-3.56,-0.01,0.00,139.16,-39.95,3998
"complexo_A_B_epitope1_8WO1_TLR4 - minimized - Frame 3999",-20.91,-154.12,2.85,-4.56,-0.52,0.08,0.00,149.97,-14.61,3999
"complexo_A_B_epitope1_8WO1_TLR4 - minimized - Frame 4000",-17.15,-153.77,-3.75,-3.95,0.65,0.00,0.00,155.29,-11.63,4000
"complexo_A_B_epitope1_8WO1_TLR4 - minimized - Frame 4001",-33.19,-112.95,9.72,-5.81,-3.58,-0.02,0.00,119.36,-39.91,4001
