"frame","MMGBSA dG Bind","MMGBSA dG Bind Coulomb","MMGBSA dG Bind Covalent","MMGBSA dG Bind Hbond","MMGBSA dG Bind Lipo","MMGBSA dG Bind Packing","MMGBSA dG Bind SelfCont","MMGBSA dG Bind Solv GB","MMGBSA dG Bind vdW"
3961,-98.50,-129.31,5.37,-7.25,-16.81,-5.28,0.00,132.48,-77.70
3826,-98.21,-132.24,3.80,-4.79,-16.19,-5.69,0.00,129.02,-72.11
3841,-97.95,-95.27,-0.08,-4.13,-17.13,-3.71,0.00,96.85,-74.47
3885,-97.85,-151.77,22.96,-6.75,-18.79,-3.83,0.00,142.53,-82.21
3936,-96.96,-136.35,9.05,-6.66,-19.73,-6.00,0.00,134.99,-72.25
3840,-96.77,-121.67,1.69,-3.21,-16.57,-3.77,0.00,124.68,-77.92
3928,-95.92,-107.62,0.44,-5.59,-17.49,-5.17,0.00,119.28,-79.76
3924,-95.68,-105.94,3.98,-3.12,-15.45,-5.22,0.00,106.66,-76.60
3954,-95.16,-116.58,7.94,-5.90,-17.59,-5.40,0.00,115.39,-73.01
3886,-95.04,-146.44,13.81,-5.12,-16.47,-4.98,0.00,141.90,-77.72
3949,-94.98,-139.60,3.33,-4.22,-15.61,-5.08,0.00,135.11,-68.92
3982,-93.60,-115.81,2.02,-2.68,-16.19,-5.35,0.00,121.40,-77.01
3907,-93.54,-127.07,8.77,-4.02,-15.04,-5.70,0.00,129.30,-79.78
3970,-92.63,-96.52,-9.54,-5.39,-16.21,-2.74,0.00,104.79,-67.01
3865,-92.29,-121.39,6.59,-6.41,-16.38,-5.94,0.00,126.93,-75.69
3858,-92.01,-116.31,6.48,-3.78,-15.31,-6.28,0.00,119.55,-76.36
3984,-90.50,-133.60,4.74,-2.90,-14.02,-4.16,0.00,128.35,-68.90
3931,-84.64,-97.25,-3.31,-2.78,-12.80,-4.23,0.00,102.38,-66.65
3801,,,,,,,,,
