Frame,Time (ns),Radius of Gyration
1,0.0,32.77399645047639
2,0.100002,33.24896112423859
3,0.200004,33.46379784246882
4,0.30000600000000005,33.48897070278328
5,0.400008,33.83007776281669
6,0.50001,33.34006576968542
7,0.6000120000000001,33.504983750191265
8,0.700014,32.70723048754637
9,0.800016,32.943919209538926
10,0.900018,33.06417834727401
11,1.00002,32.82657365354794
12,1.1000219999999998,32.547985797409545
13,1.2000240000000002,32.60285130183762
14,1.3000260000000001,32.44514520352953
15,1.400028,32.486029044158215
16,1.50003,32.69286466831889
17,1.600032,32.33454655999533
18,1.700034,32.45726502155678
19,1.800036,32.624964652369876
20,1.9000380000000001,32.49165576716573
21,2.00004,32.674381289366266
22,2.1000419999999997,32.62435572493796
23,2.2000439999999997,32.91664175055258
24,2.300046,32.518395800771444
25,2.4000480000000004,32.69825871283512
26,2.5000500000000003,32.77272800175436
27,2.6000520000000003,33.58006827814417
28,2.700054,32.8234319732588
29,2.800056,32.65870262716306
30,2.900058,32.18458339945369
31,3.00006,32.55122660941981
32,3.100062,31.89799421794649
33,3.200064,31.878233155017398
34,3.300066,32.372078019598
35,3.400068,32.22182905385675
36,3.50007,32.21791208400573
37,3.600072,32.09943817995805
38,3.700074,32.49211345041617
39,3.8000760000000002,33.255334016499965
40,3.900078,33.15046614287953
41,4.00008,33.30209154351585
42,4.1000820000000004,33.27335330041532
43,4.2000839999999995,33.49555211605513
44,4.300086,33.27013935142194
45,4.400087999999999,32.77102750016084
46,4.50009,33.11373914496918
47,4.600092,33.4240777725456
48,4.700094,33.197703763690605
49,4.800096000000001,33.466205831858005
50,4.900098,33.25079611595979
51,5.000100000000001,33.1610408307572
52,5.100102,32.830265332936854
53,5.2001040000000005,33.39440090037375
54,5.3001059999999995,33.239686226089646
55,5.400108,33.673423171197356
56,5.500109999999999,33.42213231261835
57,5.600112,33.650211334931306
58,5.700114,33.829657631996064
59,5.800116,33.7851996483907
60,5.900118,33.390296443033705
61,6.00012,32.97807235273034
62,6.100122000000001,32.8848580647006
63,6.200124,32.178821339079526
64,6.300126000000001,32.38216043647295
65,6.400128,32.202569583673
66,6.50013,31.775541250954692
67,6.600132,31.508030075155844
68,6.700134,32.14311102986559
69,6.800136,32.1095820543407
70,6.900138,31.522565505466417
71,7.00014,31.333427010169572
72,7.100142,31.352382124524375
73,7.200144,31.819161144088657
74,7.300146,31.912607661557786
75,7.400148,31.712783728299943
76,7.5001500000000005,31.570992835511575
77,7.6001520000000005,31.655457113534165
78,7.700154,31.433259559906357
79,7.800156,31.84404624920024
80,7.900158,31.622308441857317
81,8.00016,31.38872479058699
82,8.100162000000001,31.66844404567432
83,8.200164000000001,31.492563484341243
84,8.300166,31.551462915710516
85,8.400167999999999,31.694412066911163
86,8.50017,31.985480338501322
87,8.600172,32.41456416716959
88,8.700174,32.525741618979445
89,8.800175999999999,32.237996366581655
90,8.900178,32.077147605017984
91,9.00018,32.11612418490168
