"MMGBSA dG Bind","MMGBSA dG Bind Coulomb","MMGBSA dG Bind Covalent","MMGBSA dG Bind Hbond","MMGBSA dG Bind Lipo","MMGBSA dG Bind Packing","MMGBSA dG Bind SelfCont","MMGBSA dG Bind Solv GB","MMGBSA dG Bind vdW","frame"
-85.28,-31.77,5.70,-3.85,-30.16,-2.07,0.17,41.63,-64.94,3867
-84.00,-5.84,9.48,-3.12,-32.10,-2.47,-0.06,17.53,-67.41,3868
-84.99,-17.33,7.74,-3.75,-32.29,-2.08,-1.19,27.07,-63.16,3869
-80.28,-23.58,9.39,-3.96,-29.47,-2.72,0.01,26.10,-56.06,3870
-85.70,-9.73,5.53,-4.13,-32.46,-2.16,0.01,21.97,-64.74,3871
-80.01,-22.01,7.47,-3.21,-30.33,-2.06,0.00,36.35,-66.22,3872
-77.54,-19.43,4.89,-2.96,-29.69,-1.04,-0.00,31.44,-60.75,3873
-80.77,-30.55,9.68,-2.90,-33.34,-1.65,-0.00,47.25,-69.26,3874
-89.74,-38.71,12.59,-5.51,-31.60,-2.19,0.00,42.77,-67.08,3875
-79.46,-9.00,7.91,-3.47,-29.61,-2.89,0.00,19.39,-61.78,3876
-86.72,-5.23,8.04,-3.33,-30.68,-2.91,0.00,12.90,-65.52,3877
-83.93,-15.63,5.27,-3.18,-30.28,-2.35,-0.00,27.30,-65.06,3878
-78.42,-21.85,11.23,-3.36,-28.71,-1.64,0.00,21.45,-55.53,3879
-84.02,-10.13,6.03,-3.18,-29.90,-2.78,0.00,17.12,-61.18,3880
-83.43,4.60,5.72,-1.74,-30.54,-2.83,-0.05,2.26,-60.83,3881
-89.80,-27.73,1.87,-3.91,-27.81,-2.70,-0.02,31.81,-61.33,3882
-76.23,-4.20,3.03,-2.70,-29.12,-2.65,-0.00,22.54,-63.14,3883
-86.00,-18.90,5.37,-4.34,-30.68,-2.04,-0.00,26.26,-61.67,3884
-81.30,-15.58,4.12,-1.67,-29.96,-1.36,-0.01,25.57,-62.41,3885
-85.52,-18.26,5.60,-3.22,-30.96,-2.31,0.01,28.97,-65.35,3886
-86.53,-17.50,4.20,-3.43,-31.97,-2.04,0.01,27.61,-63.40,3887
-85.54,-20.44,4.01,-3.85,-29.31,-2.77,-0.00,28.60,-61.77,3888
-49.07,-6.02,23.30,-1.96,-26.16,-2.05,0.00,28.30,-64.47,3889
4266.55,-22.73,2949.14,-2.00,-23.09,-2.41,0.00,47.98,1319.65,3890
-42.14,-8.18,14.27,0.05,-27.26,-2.62,-0.01,38.25,-56.64,3891
-38.64,-24.70,11.34,-3.63,-22.21,-2.09,-0.01,43.63,-40.97,3892
-90.27,-36.64,12.32,-4.30,-31.44,-2.37,-0.00,39.04,-66.87,3893
-84.67,-13.50,5.93,-3.26,-31.40,-1.56,0.01,24.08,-64.97,3894
-86.53,-15.73,8.53,-3.66,-32.18,-1.65,0.00,26.08,-67.91,3895
-86.49,-10.85,8.88,-2.94,-31.33,-1.89,0.01,19.13,-67.50,3896
-87.42,-24.51,5.11,-3.92,-30.25,-2.18,0.00,31.10,-62.77,3897
-84.77,-17.24,11.89,-4.85,-32.41,-1.79,0.00,26.30,-66.67,3898
-91.65,-31.19,10.94,-4.46,-32.48,-2.68,-0.00,33.47,-65.24,3899
-81.68,-10.75,10.01,-1.23,-32.32,-3.02,-0.00,26.38,-70.75,3900
-88.34,-10.48,6.86,-3.24,-29.68,-2.46,-0.00,18.06,-67.40,3901
-79.60,-5.65,10.19,-3.05,-29.53,-4.47,-0.00,17.43,-64.51,3902
-81.47,-8.64,10.73,-3.42,-28.39,-4.06,-0.02,14.56,-62.24,3903
-89.06,-15.91,5.38,-3.06,-31.56,-0.94,-0.00,22.89,-65.85,3904
-93.57,-14.25,5.43,-3.71,-31.57,-3.46,0.00,19.04,-65.05,3905
-82.52,-13.50,6.66,-3.77,-30.42,-3.72,0.01,25.32,-63.11,3906
-90.35,-19.90,8.29,-4.04,-31.98,-3.88,-0.01,29.57,-68.41,3907
-89.87,-23.07,5.52,-4.48,-29.10,-3.77,-0.01,31.93,-66.88,3908
-93.10,-26.45,12.76,-4.29,-31.61,-3.54,0.00,28.98,-68.95,3909
-95.25,-24.10,8.74,-4.36,-29.78,-4.70,-0.01,23.35,-64.39,3910
-90.80,-24.30,8.26,-3.83,-32.48,-2.93,0.00,29.94,-65.46,3911
-86.93,-3.88,7.09,-3.28,-31.06,-3.35,-0.00,16.27,-68.72,3912
-89.15,-24.89,8.90,-3.64,-33.28,-2.43,0.02,32.20,-66.03,3913
-88.36,-22.16,6.06,-3.22,-31.77,-2.04,0.01,31.30,-66.54,3914
-83.24,-11.44,6.41,-2.47,-31.92,-1.87,0.01,23.06,-65.03,3915
-80.84,9.43,6.83,-2.56,-32.25,-2.55,0.01,9.51,-69.27,3916
-82.95,-19.90,7.05,-3.53,-29.42,-2.82,-0.02,28.69,-62.99,3917
-76.98,-11.85,10.74,-2.77,-30.51,-3.19,-0.00,24.36,-63.75,3918
-81.47,-10.13,3.24,-2.68,-30.88,-2.07,-0.01,26.58,-65.53,3919
-86.02,-7.24,3.49,-3.29,-31.92,-1.56,0.00,17.43,-62.93,3920
-86.56,-1.05,5.31,-2.62,-31.78,-3.84,0.01,12.72,-65.31,3921
-78.95,-22.30,8.70,-3.44,-31.92,-2.07,-0.01,47.25,-75.15,3922
-85.87,-21.26,2.69,-3.33,-30.27,-2.53,-0.00,31.08,-62.25,3923
-66.39,-7.23,9.48,-2.35,-25.24,-1.32,-0.00,20.86,-60.60,3924
-74.59,-2.41,9.68,-2.77,-31.98,-0.17,0.02,17.54,-64.51,3925
-84.31,-17.11,3.41,-2.63,-32.35,-1.61,0.02,31.62,-65.66,3926
-85.35,-8.38,4.80,-3.69,-31.54,-1.79,0.01,17.17,-61.94,3927
-79.84,-1.89,3.55,-2.99,-31.13,-1.58,0.01,18.27,-64.06,3928
-78.12,-23.55,7.69,-3.08,-30.80,-1.16,0.01,36.37,-63.59,3929
-86.25,-8.95,9.82,-3.96,-31.13,-2.71,0.02,13.10,-62.45,3930
-88.93,-32.96,12.86,-3.55,-31.91,-4.15,-0.01,38.88,-68.10,3931
-82.57,-14.84,6.29,-3.29,-29.63,-0.98,0.01,20.54,-60.67,3932
-86.42,-13.47,5.57,-3.43,-32.22,-2.75,-0.01,24.26,-64.36,3933
-22.03,3.62,10.83,-1.69,-20.13,-2.29,-0.01,31.91,-44.27,3934
-43.39,-26.30,9.00,-2.63,-20.71,-1.47,-0.02,46.11,-47.37,3935
-77.39,-14.01,10.52,-3.08,-31.76,-2.63,-0.01,31.26,-67.66,3936
-82.28,-9.19,12.92,-3.68,-32.36,-4.13,-0.00,20.29,-66.13,3937
-75.57,-13.17,12.92,-3.73,-30.90,-3.38,0.01,29.47,-66.79,3938
-88.79,-16.32,9.89,-4.19,-33.19,-2.42,0.01,24.86,-67.43,3939
-84.93,-11.83,8.12,-3.65,-31.43,-2.43,0.00,21.99,-65.70,3940
-74.14,-18.81,9.39,-3.26,-28.52,-0.54,0.00,25.34,-57.74,3941
-77.02,-16.79,6.85,-2.81,-30.12,-1.80,0.00,28.98,-61.34,3942
-83.15,-17.60,6.58,-3.22,-31.50,-2.03,-0.01,28.84,-64.21,3943
-89.01,-31.79,10.62,-3.96,-31.42,-2.76,0.01,33.60,-63.31,3944
-83.94,-20.75,15.78,-2.88,-31.77,-2.50,0.00,22.24,-64.07,3945
-75.87,-8.98,6.40,-2.74,-29.35,-3.21,-0.00,17.93,-55.94,3946
-84.53,-12.94,8.93,-3.25,-34.07,-1.41,0.01,31.38,-73.18,3947
-26.13,-15.12,9.91,-3.03,-18.86,-2.94,-0.01,42.51,-38.60,3948
2676.76,-27.90,1857.95,-2.12,-16.34,-2.69,-0.01,64.44,803.43,3949
-35.64,-31.06,23.03,-3.63,-19.45,-2.58,-0.01,44.69,-46.62,3950
2681.76,-22.77,1856.66,-2.11,-15.71,-2.71,-0.01,62.56,805.86,3951
-34.01,-29.92,22.21,-2.13,-27.00,-4.66,-0.03,63.47,-55.95,3952
-39.04,-18.63,12.02,-2.99,-16.69,-0.78,-0.01,33.55,-45.52,3953
